WP4;DRN;campaign;alpha;beta;gamma
3876;France;1;0.763494812;0.066482799;0.82997761
3876;France;2;0.657982995;0.14325851;0.801241505
3876;France;3;0.644961608;0.153342988;0.798304596
3876;France;4;0.655738783;0.144865938;0.800604721
3876;France;5;0.811579039;0.038605463;0.850184502
3877;France;1;0.763494812;0.066482799;0.82997761
3877;France;2;0.657982995;0.14325851;0.801241505
3877;France;3;0.644961608;0.153342988;0.798304596
3877;France;4;0.655738783;0.144865938;0.800604721
3877;France;5;0.811579039;0.038605463;0.850184502
3879;France;1;0.752922115;0.07365012;0.826572235
3879;France;2;0.68461957;0.122842484;0.807462054
3879;France;3;0.673711448;0.131247709;0.804959157
3879;France;4;0.734326786;0.090158799;0.824485585
3879;France;5;0.838034702;0.030239568;0.868274269
3508;France;1;0.885177549;0.053336004;0.938513553
3508;France;2;0.907204887;0.00868146;0.915886347
3508;France;3;0.840876031;0.075830005;0.916706036
3508;France;4;0.854299122;0.066535751;0.920834873
3508;France;5;0.778087699;0.149573677;0.927661375
3509;France;1;0.885177549;0.053336004;0.938513553
3509;France;2;0.907204887;0.00868146;0.915886347
3509;France;3;0.840876031;0.075830005;0.916706036
3509;France;4;0.854299122;0.066535751;0.920834873
3509;France;5;0.778087699;0.149573677;0.927661375
3836;France;1;0.777473635;0.058304016;0.835777651
3836;France;2;0.680520747;0.126202264;0.80672301
3836;France;3;0.666814476;0.136691128;0.803505604
3836;France;4;0.682386018;0.124792608;0.807178626
3836;France;5;0.815510372;0.037685169;0.853195541
3837;France;1;0.777473635;0.058304016;0.835777651
3837;France;2;0.680520747;0.126202264;0.80672301
3837;France;3;0.666814476;0.136691128;0.803505604
3837;France;4;0.682386018;0.124792608;0.807178626
3837;France;5;0.815510372;0.037685169;0.853195541
3510;France;1;0.894571723;0.038281473;0.932853196
3510;France;2;0.906042951;0.00409859;0.91014154
3510;France;3;0.839858654;0.072929564;0.912788218
3510;France;4;0.854314899;0.059147454;0.913462353
3510;France;5;0.76925601;0.154146397;0.923402407
3835;France;1;0.746500891;0.100576776;0.847077668
3835;France;2;0.642062558;0.159648908;0.801711466
3835;France;3;0.588179293;0.202540629;0.790719921
3835;France;4;0.51874978;0.258623555;0.777373334
3835;France;5;0.783068552;0.070651275;0.853719827
3511;France;1;0.899439769;0.029225219;0.928664989
3511;France;2;0.902596404;0.010795954;0.913392359
3511;France;3;0.841877317;0.06831408;0.910191397
3511;France;4;0.85532371;0.053521541;0.90884525
3511;France;5;0.767281213;0.154052934;0.921334148
3512;France;1;0.899439769;0.029225219;0.928664989
3512;France;2;0.902596404;0.010795954;0.913392359
3512;France;3;0.841877317;0.06831408;0.910191397
3512;France;4;0.85532371;0.053521541;0.90884525
3512;France;5;0.767281213;0.154052934;0.921334148
3513;France;1;0.907263708;-0.00512809;0.902135618
3513;France;2;0.898234449;-0.006042263;0.892192186
3513;France;3;0.815954687;0.084425812;0.900380499
3513;France;4;0.868520815;0.036063709;0.904584523
3513;France;5;0.761088874;0.153201297;0.914290171
3822;France;1;0.798847181;0.043481526;0.842328708
3822;France;2;0.718498812;0.098121001;0.816619813
3822;France;3;0.706003723;0.10771007;0.813713794
3822;France;4;0.718508421;0.098535237;0.817043659
3822;France;5;0.790271176;0.050030799;0.840301975
3514;France;1;0.90750528;0.009369761;0.916875042
3514;France;2;0.878246823;0.023169351;0.901416174
3514;France;3;0.810907499;0.090991634;0.901899133
3514;France;4;0.844294767;0.057066569;0.901361336
3514;France;5;0.881067114;0.040414953;0.921482067
3515;France;1;0.909161991;0.001461336;0.910623327
3515;France;2;0.886458067;0.006597076;0.893055143
3515;France;3;0.837634779;0.057417601;0.895052379
3515;France;4;0.831812081;0.065476128;0.897288209
3515;France;5;0.883471014;0.037774259;0.921245273
3819;France;1;0.781065673;0.054032679;0.835098352
3819;France;2;0.72196338;0.095653139;0.817616519
3819;France;3;0.71159988;0.103891087;0.815490967
3819;France;4;0.723123057;0.095412917;0.818535974
3819;France;5;0.792219219;0.048570374;0.840789593
3820;France;1;0.781065673;0.054032679;0.835098352
3820;France;2;0.72196338;0.095653139;0.817616519
3820;France;3;0.71159988;0.103891087;0.815490967
3820;France;4;0.723123057;0.095412917;0.818535974
3820;France;5;0.792219219;0.048570374;0.840789593
3516;France;1;0.906800016;9.98E-04;0.90779784
3516;France;2;0.879436623;0.015639142;0.895075766
3516;France;3;0.830463968;0.071219338;0.901683306
3516;France;4;0.831612904;0.067297058;0.898909962
3516;France;5;0.881853561;0.037375515;0.919229076
3818;France;1;0.79384222;0.045596438;0.839438657
3818;France;2;0.738374128;0.083704176;0.822078304
3818;France;3;0.725397727;0.093646;0.819043727
3818;France;4;0.736056222;0.08592071;0.821976932
3818;France;5;0.802513285;0.042016586;0.84452987
3517;France;1;0.896602037;-0.009527417;0.88707462
3517;France;2;0.868714385;0.001275309;0.869989694
3517;France;3;0.857631955;0.018936925;0.87656888
3517;France;4;0.836678236;0.054954538;0.891632774
3517;France;5;0.885795841;0.024219058;0.910014898
3518;France;1;0.888604503;-0.007581469;0.881023034
3518;France;2;0.857294712;0.006446348;0.863741059
3518;France;3;0.851163956;0.018536377;0.869700333
3518;France;4;0.777258193;0.115205737;0.89246393
3518;France;5;0.895242496;0.013671283;0.908913779
3519;France;1;0.89809485;-0.006983933;0.891110917
3519;France;2;0.869863499;0.008093582;0.877957081
3519;France;3;0.841032606;0.044098553;0.885131159
3519;France;4;0.838867752;0.043324733;0.882192485
3519;France;5;0.888945172;0.020089622;0.909034794
3521;France;1;0.902368716;-0.006113781;0.896254935
3521;France;2;0.881390017;-0.003438354;0.877951662
3521;France;3;0.864571362;0.014830889;0.879402251
3521;France;4;0.866044556;0.015713229;0.881757784
3521;France;5;0.881672824;0.012827965;0.894500789
3805;France;1;0.827361097;0.025319466;0.852680563
3805;France;2;0.775717629;0.058251669;0.833969297
3805;France;3;0.755052531;0.075229938;0.830282469
3805;France;4;0.747222891;0.08510271;0.832325601
3805;France;5;0.833369918;0.043128449;0.876498367
3522;France;1;0.897827385;-0.006511602;0.891315784
3522;France;2;0.874833283;-0.001545137;0.873288146
3522;France;3;0.861372847;0.013116099;0.874488946
3522;France;4;0.864067981;0.013338887;0.877406868
3522;France;5;0.883111528;0.007628895;0.890740423
3523;France;1;0.892474019;-0.009849241;0.882624778
3523;France;2;0.867860791;0.001685642;0.869546432
3523;France;3;0.857579167;0.014812277;0.872391444
3523;France;4;0.860604643;0.014881495;0.875486138
3523;France;5;0.879979576;0.009770791;0.889750368
3524;France;1;0.892474019;-0.009849241;0.882624778
3524;France;2;0.867860791;0.001685642;0.869546432
3524;France;3;0.857579167;0.014812277;0.872391444
3524;France;4;0.860604643;0.014881495;0.875486138
3524;France;5;0.879979576;0.009770791;0.889750368
3771;France;1;0.797360652;0.041832693;0.839193345
3771;France;2;0.749324225;0.075249844;0.824574069
3771;France;3;0.720133721;0.096835916;0.816969636
3771;France;4;0.704833467;0.10789013;0.812723597
3771;France;5;0.784796051;0.050708803;0.835504854
3772;France;1;0.797360652;0.041832693;0.839193345
3772;France;2;0.749324225;0.075249844;0.824574069
3772;France;3;0.720133721;0.096835916;0.816969636
3772;France;4;0.704833467;0.10789013;0.812723597
3772;France;5;0.784796051;0.050708803;0.835504854
3773;France;1;0.797360652;0.041832693;0.839193345
3773;France;2;0.749324225;0.075249844;0.824574069
3773;France;3;0.720133721;0.096835916;0.816969636
3773;France;4;0.704833467;0.10789013;0.812723597
3773;France;5;0.784796051;0.050708803;0.835504854
3525;France;1;0.890523778;-0.009457904;0.881065874
3525;France;2;0.865976298;0.002327466;0.868303764
3525;France;3;0.856384303;0.014595616;0.870979918
3525;France;4;0.859850042;0.01429654;0.874146582
3525;France;5;0.880196782;0.008579289;0.888776071
3763;France;1;0.761417296;0.065809474;0.82722677
3763;France;2;0.699353948;0.111888632;0.81124258
3763;France;3;0.68793495;0.120949043;0.808883993
3763;France;4;0.700759535;0.111177391;0.811936926
3763;France;5;0.778031612;0.055271754;0.833303366
3770;France;1;0.821990184;0.025619934;0.847610118
3770;France;2;0.774781353;0.056873556;0.831654908
3770;France;3;0.746945518;0.076984501;0.823930018
3770;France;4;0.732137983;0.087310578;0.819448561
3770;France;5;0.808111011;0.03487079;0.842981801
3764;France;1;0.781747438;0.050962221;0.832709659
3764;France;2;0.729318619;0.089065187;0.818383806
3764;France;3;0.697480455;0.113362817;0.810843272
3764;France;4;0.68175255;0.125162484;0.806915034
3764;France;5;0.767826765;0.060961006;0.828787772
3767;France;1;0.819681531;0.025572722;0.845254253
3767;France;2;0.770779415;0.058790969;0.829570384
3767;France;3;0.739473658;0.081760822;0.82123448
3767;France;4;0.724700201;0.092386606;0.817086806
3767;France;5;0.804641036;0.035560313;0.840201349
3769;France;1;0.860381782;0.001291791;0.861673573
3769;France;2;0.820803923;0.024408425;0.845212348
3769;France;3;0.79435772;0.0424473;0.836805021
3769;France;4;0.780046068;0.051927266;0.831973333
3769;France;5;0.84746786;0.008495619;0.855963478
3768;France;1;0.860463231;0.00105626;0.861519491
3768;France;2;0.82225545;0.023382083;0.845637533
3768;France;3;0.793647191;0.042791134;0.836438326
3768;France;4;0.778087445;0.053193949;0.831281394
3768;France;5;0.84658803;0.008741013;0.855329043
3765;France;1;0.790566959;0.047324231;0.83789119
3765;France;2;0.722919571;0.14004367;0.862963242
3765;France;3;0.746001615;0.077595126;0.823596741
3765;France;4;0.471045254;0.296433257;0.767478511
3765;France;5;0.680511109;0.128458224;0.808969333
3766;France;1;0.820366781;0.027418881;0.847785662
3766;France;2;0.753298884;0.073028026;0.82632691
3766;France;3;0.765924242;0.064022943;0.829947185
3766;France;4;0.752384499;0.088670498;0.841054997
3766;France;5;0.881498657;0.008414272;0.889912929
3526;France;1;0.886324842;-0.008631596;0.877693246
3526;France;2;0.860757708;0.004786298;0.865544007
