campaing,WP4_ID,nep
1,3590,-0.5985375031325939
1,3592,-0.5855212717499596
1,3593,-0.5157952939531022
1,3594,-0.5235901160515165
1,3595,-0.631695848676037
1,3596,-0.5984978202919459
1,3597,-0.633996200967917
1,3598,-0.5498126186832802
1,3599,-0.47718117550795464
1,3600,-0.5957119611184231
1,3601,-0.5322851562621458
1,3602,-0.458917838313132
1,3603,-0.4687681320921785
1,3604,-0.5305123305004895
1,3605,-0.453811020435376
1,3606,-0.5189129296283622
1,3607,-0.543095597735974
1,3608,-0.5022761219847872
1,3609,-0.5470589552863092
1,3610,-0.5590641042698329
1,3611,-0.5566996610108511
1,3612,-0.517236252132868
1,3613,-0.5145927933126041
1,3614,-0.558459778767413
1,3615,-0.6754647539849183
1,3616,-0.5043074397135741
1,3617,-0.5317722215273166
1,3618,-0.5651900525801498
1,3619,-0.5667719506894672
1,3620,-0.6502116512995224
1,3621,-0.6000999727977555
1,3622,-0.4937671270265435
1,3623,-0.5473520451426677
1,3624,-0.6484562533458298
1,3625,-0.6807994195315505
1,3626,-0.5446625707499801
1,3627,-0.5616735590348604
1,3628,-0.7183705535816292
1,3629,-0.5319114948223856
1,3630,-0.5514980633039742
1,3631,-0.5791851218925794
1,3632,-0.5143893210270355
1,3633,-0.4536506549527634
1,3634,-0.5385595172024465
1,3635,-0.4439179802275732
1,3636,-0.48694916359235374
1,3637,-0.46528068708779396
1,3638,-0.5124205956494097
1,3639,-0.6133950858887911
1,3640,-0.5990291655921733
1,3641,-0.5839874929210646
1,3642,-0.5281803039415611
1,3643,-0.5448180083344876
1,3644,-0.6043902246927573
1,3645,-0.5890742662206296
1,3646,-0.5589101527110476
1,3647,-0.5530348345608798
1,3648,-0.644367388343985
1,3649,-0.490567226260288
1,3650,-0.5834583738564177
1,3651,-0.46654256580438036
1,3652,-0.5587942248711194
1,3653,-0.5563651365013013
1,3654,-0.5924908749168811
1,3655,-0.5726337400594046
1,3656,-0.5717436393068656
1,3657,-0.6061181159961925
1,3658,-0.45413261311224273
1,3659,-0.5379690237405269
1,3660,-0.605969902533438
1,3661,-0.624477447801399
1,3662,-0.511989086396919
1,3663,-0.5398161473408819
1,3664,-0.5274765076844962
1,3665,-0.5900341521330289
1,3666,-0.6473318761612376
1,3667,-0.6759191877458384
1,3668,-0.6871057946813937
1,3669,-0.6558217640087329
1,3670,-0.6259261207730389
1,3671,-0.664729523878501
1,3672,-0.6601837853902961
1,3673,-0.5367326095337764
1,3674,-0.5113838130012565
1,3675,-0.5242971786101519
1,3676,-0.4821992534884878
1,3677,-0.5210210939813762
1,3678,-0.5883949418328318
1,3679,-0.5450065014175933
1,3680,-0.5750859376293901
1,3681,-0.6149244504856883
1,3682,-0.6077405438450233
1,3683,-0.5186281595488027
1,3684,-0.5987405376503853
1,3685,-0.5560016831904129
1,3686,-0.553100385615798
1,3687,-0.5202934326436527
1,3688,-0.606772845685449
1,3689,-0.6130247996650797
1,3690,-0.5810894308151655
1,3691,-0.6402744680712671
1,3692,-0.4936259156135778
1,3693,-0.5111598034277093
1,3694,-0.5715475498770407
1,3695,-0.5485456620462008
1,3696,-0.5605472420139342
1,3697,-0.35999546357227413
1,3698,-0.37845189633293125
1,3699,-0.6071685492067582
1,3700,-0.5377150981936052
