campaign;DRN;WP4;dem;nep;co2
1;France;3562;0.002463275;-0.615963385;7793.373692
1;France;3563;0.002488501;-0.666987524;2076.372497
1;France;3564;0.002500304;-0.582400627;4861.178198
1;France;3565;0.002533251;-0.576045082;13730.71323
1;France;3566;0.002539066;-0.406096774;5539.253236
1;France;3567;0.002551925;-0.407882064;12548.36271
1;France;3568;0.002473852;-0.439626327;8990.270094
1;France;3569;0.002487268;-0.494014923;6658.62259
1;France;3570;0.002039907;-0.601366199;294.5031543
1;France;3571;0.001850319;-0.552957123;781.0296435
1;France;3572;0.002623966;-0.551689049;1147.128915
1;France;3573;0.002176164;-0.587086583;1146.551565
1;France;3574;0.001983715;-0.407891405;7231.488833
1;France;3575;0.002530373;-0.530618245;1477.398516
1;France;3576;0.002088709;-0.577075226;2090.086545
1;France;3577;0.002180503;-0.521635951;2170.755323
1;France;3578;0.002135101;-0.532628694;2410.539045
1;France;3579;0.002103659;-0.551174803;2331.132612
1;France;3580;0.002108822;-0.575473805;894.9142606
1;France;3581;0.002594409;-0.770373341;1983.500691
1;France;3582;0.002191557;-0.512948928;3345.916184
1;France;3583;0.001996678;-0.531794596;4653.925162
1;France;3584;0.001983098;-0.596024683;3512.07081
1;France;3585;0.002610868;-0.6152786;2157.513928
1;France;3586;0.001960316;-0.466654127;1713.765126
1;France;3587;0.00258452;-0.536780117;1748.75749
1;France;3588;0.002684637;-0.570994375;654.7017468
1;France;3589;0.002734082;-0.549693853;4115.945075
1;France;3590;0.002621187;-0.598537503;675.2961908
1;France;3592;0.002690834;-0.585521272;1002.597372
1;France;3593;0.002821483;-0.515795294;945.2017046
1;France;3594;0.002692496;-0.523590116;2105.956311
1;France;3595;0.002563302;-0.631695849;4100.005064
1;France;3596;0.002085126;-0.59849782;795.4582458
1;France;3597;0.002735531;-0.633996201;1714.813698
1;France;3598;0.002691687;-0.549812619;2367.606674
1;France;3599;0.002110186;-0.477181176;2124.131993
1;France;3600;0.002589626;-0.595711961;2923.762588
1;France;3601;0.002730429;-0.532285156;2633.673667
1;France;3602;0.002101652;-0.458917838;4007.623085
1;France;3603;0.002109242;-0.468768132;1459.944216
1;France;3604;0.002115533;-0.530512331;1769.819641
1;France;3605;0.002623856;-0.45381102;1936.77922
1;France;3606;0.00273782;-0.51891293;2541.002736
1;France;3607;0.002723917;-0.543095598;825.3052042
1;France;3608;0.002126765;-0.502276122;1318.503395
1;France;3609;0.002692879;-0.547058955;939.0334153
1;France;3610;0.002729077;-0.559064104;1407.993326
1;France;3611;0.00270109;-0.556699661;4054.738141
1;France;3612;0.002501785;-0.517236252;1987.193025
1;France;3613;0.0026813;-0.514592793;1187.828037
1;France;3614;0.002709868;-0.558459779;3641.158583
1;France;3615;0.001990426;-0.675464754;626.9364402
1;France;3616;0.002645957;-0.50430744;3455.666136
1;France;3617;0.001992179;-0.531772222;2942.107278
1;France;3618;0.002205572;-0.565190053;2475.213944
1;France;3619;0.002121708;-0.566771951;1303.123345
1;France;3620;0.002620653;-0.650211651;1298.034408
1;France;3621;0.002743195;-0.600099973;1701.238427
1;France;3622;0.001934426;-0.493767127;1856.985486
1;France;3623;0.002025064;-0.547352045;8158.317705
1;France;3624;0.002141731;-0.648456253;3654.752755
1;France;3625;0.00274462;-0.68079942;1175.469373
1;France;3626;0.002103261;-0.544662571;2399.700421
1;France;3627;0.002152382;-0.561673559;2017.581149
1;France;3628;0.00276208;-0.718370554;840.5072474
1;France;3629;0.002625614;-0.531911495;4338.805241
1;France;3630;0.002204598;-0.551498063;3826.502975
1;France;3631;0.002483164;-0.579185122;3333.859023
