WP4,Regime
1855,intermittent
1854,perennial
1856,perennial
2048,intermittent
1857,perennial
1859,perennial
1858,perennial
1860,perennial
1861,perennial
2007,perennial
2010,perennial
2009,perennial
2008,perennial
2011,perennial
1862,perennial
2006,perennial
1863,perennial
1864,perennial
1865,perennial
1866,perennial
1867,perennial
1957,perennial
1965,perennial
1966,perennial
1959,perennial
1960,perennial
1961,perennial
1958,perennial
1963,perennial
1962,perennial
1964,perennial
1972,perennial
1974,intermittent
1973,intermittent
1868,perennial
1954,perennial
1953,perennial
1955,intermittent
1956,intermittent
1869,perennial
1870,perennial
1949,perennial
1948,perennial
1871,perennial
1872,perennial
1935,perennial
1937,perennial
1938,perennial
1939,perennial
1940,perennial
1936,perennial
1873,perennial
1934,intermittent
1874,perennial
1875,perennial
1877,perennial
1876,perennial
1878,intermittent
1919,perennial
1925,perennial
1924,perennial
1918,perennial
1921,perennial
1922,perennial
1923,perennial
1920,perennial
1931,perennial
1932,perennial
1879,perennial
1881,perennial
1880,perennial
1905,intermittent
1906,intermittent
1904,perennial
1903,perennial
1894,intermittent
1899,intermittent
1882,intermittent
1898,intermittent
1895,intermittent
1897,intermittent
1896,intermittent
1884,perennial
1883,perennial
1887,perennial
1885,perennial
1886,perennial
1907,perennial
1914,perennial
1913,perennial
1916,perennial
1915,perennial
1908,perennial
1912,perennial
1909,perennial
1911,intermittent
1910,intermittent
1947,intermittent
1946,intermittent
1945,intermittent
1950,perennial
1952,intermittent
1951,perennial
1975,perennial
1976,perennial
1977,perennial
2004,intermittent
1978,perennial
1995,perennial
1979,perennial
1994,intermittent
1981,perennial
1980,perennial
1982,perennial
1988,perennial
1993,intermittent
1991,intermittent
1992,intermittent
1989,intermittent
1990,intermittent
1986,perennial
1983,perennial
1984,perennial
1985,perennial
1997,perennial
1998,perennial
1996,perennial
1999,perennial
2000,intermittent
2002,intermittent
2001,intermittent
2003,intermittent
2005,perennial
2012,perennial
2014,intermittent
2013,intermittent
2016,intermittent
2015,intermittent
2017,intermittent
2019,intermittent
2018,intermittent
2044,perennial
2022,perennial
2023,perennial
2020,perennial
2021,perennial
2037,intermittent
2025,intermittent
2026,intermittent
2028,intermittent
2027,intermittent
2038,intermittent
2039,intermittent
2024,intermittent
2040,intermittent
2047,intermittent
2050,perennial
2049,perennial
2051,perennial
2052,perennial
2053,perennial
2202,perennial
2055,perennial
2201,perennial
2054,perennial
2056,perennial
2191,intermittent
2192,intermittent
2193,intermittent
2057,perennial
2187,intermittent
2186,intermittent
2188,intermittent
2190,intermittent
2189,intermittent
2058,perennial
2185,intermittent
2059,perennial
2147,perennial
2146,perennial
2148,perennial
2172,intermittent
2170,intermittent
2171,intermittent
2149,perennial
2150,perennial
2166,intermittent
2165,intermittent
2167,intermittent
2151,intermittent
2153,intermittent
2152,intermittent
2174,intermittent
2176,intermittent
2175,intermittent
2177,intermittent
2060,perennial
2097,perennial
2099,perennial
2100,perennial
2098,perennial
2102,perennial
2106,perennial
2107,perennial
2104,perennial
2101,perennial
2108,perennial
2105,perennial
2103,perennial
2110,perennial
2109,perennial
2111,perennial
2123,perennial
2124,perennial
2122,perennial
2129,perennial
2127,perennial
2128,perennial
2130,intermittent
2131,intermittent
2134,intermittent
2133,intermittent
2132,intermittent
2136,intermittent
2061,perennial
2064,perennial
2062,perennial
2063,perennial
2066,perennial
2065,perennial
2067,perennial
2070,perennial
2068,perennial
2069,perennial
2076,intermittent
2077,intermittent
2071,perennial
2072,perennial
2073,perennial
2075,perennial
2074,perennial
2083,perennial
2084,perennial
2085,perennial
2091,intermittent
2090,intermittent
2094,intermittent
2092,intermittent
2089,intermittent
2088,intermittent
2093,intermittent
2195,intermittent
2196,intermittent
2197,intermittent
2194,intermittent
2206,perennial
2209,perennial
2210,perennial
2208,perennial
2207,perennial
2212,perennial
2213,perennial
2216,perennial
2220,perennial
2218,intermittent
2217,intermittent
2219,intermittent
2234,perennial
2236,intermittent
2237,intermittent
