"WP4","campaign","dr_ss","pu"
3622,2,0.050550716,1
3623,2,0.054362106,1
3624,2,0.077429246,1
3625,2,0.038067036,1
3626,2,0.155930003,1
3627,2,0.156314209,1
3628,2,0.098665551,1
3629,2,0.012701576,1
3630,2,0.107405624,1
3631,2,0.107504346,1
3632,2,0.086796655,1
3633,2,0.007678699,1
3634,2,0.093774773,1
3635,2,0.06085396,1
3636,2,0.014975086,1
3637,2,0.075028289,1
3638,2,0.011491809,1
3639,2,0.0817712,1
3640,2,0.014726728,1
3641,2,0.121685626,1
3642,2,0.3538903,1
3643,2,0.023306623,1
3644,2,0.094886147,1
3645,2,0.066910225,1
3646,2,0.020946057,1
3647,2,0.013497968,1
3648,2,0.082950155,1
3649,2,0.081179045,1
3650,2,0.23563793,1
3651,2,0.046153892,1
3652,2,0.209788533,1
3653,2,0.018095841,1
3654,2,0.195893162,1
3655,2,0.119727319,1
3656,2,0.142338869,1
3657,2,0.170420429,1
3658,2,0.276945143,1
3659,2,0.127091869,1
3660,2,0.1050455,1
3661,2,0.05794608,1
3662,2,1,1
3663,2,0.435758434,1
3664,2,0.14829755,1
3665,2,0.134876478,1
3666,2,0.126518639,1
3667,2,0.164943235,1
3668,2,0.050458557,1
3669,2,0.093774373,1
3670,2,0.141941816,1
3671,2,0.09897293,1
3672,2,0.010493209,1
3673,2,0,1
3674,2,0.10292867,1
3675,2,0.112454898,1
3676,2,0.060428981,1
3677,2,0.05545575,1
3678,2,0.067673609,1
3679,2,0.15444062,1
3680,2,0.163073108,1
3681,2,0.127991223,1
3682,2,0.060704438,1
3683,2,0.012792909,1
3684,2,0,1
3685,2,0.036033955,1
3686,2,0.028403268,1
3687,2,0.166596346,1
3688,2,0.202397165,1
3689,2,0.114172934,1
3690,2,0.098417094,1
3691,2,0.157248855,1
3692,2,0.091619762,1
3693,2,0.155215347,1
3694,2,0.129946765,1
3695,2,0.07815845,1
3696,2,0.088785642,1
3697,2,0.467101863,1
3698,2,0.448965265,1
3699,2,0.227228103,1
3700,2,0.12920608,1
3701,2,0.367244904,1
3702,2,0.38827416,1
3703,2,0.196817573,1
3704,2,0.16685621,1
3705,2,0.4930316,1
3706,2,0.285414888,1
3707,2,0.455148541,1
3708,2,0.363265954,1
3709,2,0.120086083,1
3710,2,0.229234431,1
3711,2,0.154693336,1
3712,2,0.233003673,1
3713,2,0.029569128,1
3714,2,0.230679618,1
3715,2,0.274865055,1
3716,2,0.125861889,1
3717,2,0.067830749,1
3718,2,0.156433044,1
3719,2,0.154160553,1
3720,2,0.002544247,1
3721,2,0.147508822,1
3722,2,0.127637076,1
3723,2,0.067967507,1
3724,2,0.27793483,1
3725,2,0.193163218,1
3727,2,0.102160253,1
3728,2,0.167597193,1
3729,2,0.128470655,1
3730,2,0.174437952,1
3731,2,0.281853008,1
3733,2,0.134628128,1
3734,2,0.10087774,1
3735,2,0.227732866,1
3736,2,0.127452127,1
3737,2,0.333894642,1
3738,2,0.25270973,1
3739,2,0.27589583,1
3740,2,0.621333729,1
3741,2,0.464215526,1
3742,2,0.29079125,1
3743,2,0.373897845,1
3744,2,0.336929494,1
3745,2,0.275761418,1
3746,2,0.309459383,1
3747,2,0.248482204,1
3748,2,0.178742925,1
3749,2,0.275911357,1
3750,2,0.089090189,1
3751,2,0.247303556,1
3752,2,0.241442685,1
3753,2,0.46471145,1
3754,2,0.076448673,1
3755,2,0.022500533,1
3756,2,0.043840823,1
3757,2,0.07227354,1
3758,2,0.159778002,1
3759,2,0.06872781,1
3760,2,0.048851477,1
3761,2,0.24489402,1
3762,2,0.15447747,1
3763,2,0.133706268,1
3764,2,0.157604908,1
3765,2,0.125332701,1
3766,2,0.192848947,1
3767,2,0.16570836,1
3768,2,0.199794179,1
3769,2,0.240427607,1
3770,2,0.165139316,1
3771,2,0.208026853,1
3772,2,0.16669211,1
3773,2,0.127531779,1
3775,2,0.120144841,1
3776,2,0.160611171,1
3777,2,0.229217913,1
3778,2,0.219794277,1
3779,2,0.13400991,1
3780,2,0.103537709,1
3781,2,0.034967969,1
3782,2,0.047031025,1
3783,2,0.193117353,1
3784,2,0.201122137,1
3785,2,0.16580964,1
3786,2,0.308191029,1
3787,2,0.140948656,1
3788,2,0.236898027,1
3789,2,0.112393018,1
3790,2,0.205176248,1
3791,2,0.086958133,1
3792,2,0.190735716,1
3793,2,0.240820585,1
3794,2,0.296832531,1
3795,2,0.062409693,1
3796,2,0.131789014,1
3797,2,0.137357177,1
3798,2,0.157508964,1
3799,2,0.16104029,1
3800,2,0.061634326,1
3801,2,0.143876629,1
3802,2,0.164978268,1
3803,2,0.069922891,1
3804,2,0.174847321,1
3805,2,0.161834023,1
3806,2,0.103231192,1
3807,2,0.144926442,1
3808,2,0.134125221,1
3809,2,0.113204683,1
3810,2,0.085367348,1
3811,2,0.184725776,1
3812,2,0.061972752,1
3813,2,0.10631494,1
3814,2,0.163219061,1
3815,2,0.051653833,1
3816,2,0.109405475,1
3817,2,0.116240804,1
3818,2,0.119615347,1
3819,2,0.016055468,1
3820,2,0.13986399,1
3821,2,0.037948088,1
3822,2,0.000165,1
3823,2,0.014071706,1
3824,2,0.028689282,1
3825,2,0.024753492,1
3826,2,0.090917558,1
3827,2,0.11690598,1
3828,2,0.224778913,1
3829,2,0.174570871,1
3830,2,0.10204795,1
3831,2,0.044679856,1
3832,2,0.109017428,1
3833,2,0.015661064,1
3834,2,0.050134278,1
3835,2,2.36e-05,1
3836,2,0.000105,1
3837,2,0.000191,1
3838,2,0.004772743,1
3839,2,0.00281797,1
3840,2,0.001266526,1
3841,2,0.001298716,1
3842,2,0.00102934,1
3843,2,0.00395808,1
3844,2,0.001513207,1
3845,2,0.000565,1
3846,2,0.000432,1
3847,2,0.007231695,1
3848,2,0.039364903,1
3849,2,0.031454723,1
3850,2,0.093473658,1
3851,2,0.126299755,1
3852,2,0.126539572,1
3853,2,0.034957377,1
3854,2,0.001130337,1
3855,2,0.002259052,1
3856,2,0.000772,1
3857,2,0.001715446,1
3858,2,0.001404743,1
3859,2,5.86e-05,1
3860,2,0.000127,1
3861,2,0.000119,1
3862,2,0.003084294,1
3863,2,5.79e-05,1
3864,2,0.000228,1
3865,2,0.000504,1
3866,2,0.00063,1
3867,2,0.003583438,1
3868,2,0.000825,1
3869,2,0.001237631,1
3870,2,0.002099313,1
3871,2,0.001440543,1
3872,2,0.000379,1
3873,2,0.002615795,1
3874,2,0.001095205,1
3875,2,0.000627,1
3876,2,0.000422,1
3877,2,2.64e-05,1
3878,2,0.001423189,1
3879,2,0.000762,1
3880,2,0.002203,1
3947,2,0.530762941,1
3507,3,0.004417472,1
3508,3,0.001306444,1
3509,3,0.000648,1
3510,3,0.00039,1
3511,3,0.000421,1
3512,3,0.000638,1
3513,3,0.006852424,1
3514,3,0.012406564,1
3515,3,0.004131237,1
3516,3,0.037415749,1
3517,3,0.111390876,1
3518,3,0.099914997,1
3519,3,0.01163979,1
3520,3,0.012216974,1
3521,3,0.131214007,1
3522,3,0.154258666,1
3523,3,0.056296985,1
3524,3,0.222080529,1
3525,3,0.111883473,1
3526,3,0.152166392,1
3527,3,0.245336334,1
3528,3,0.188029794,1
3529,3,0.204512959,1
3530,3,0.155538224,1
3531,3,0.15531321,1
3532,3,0.140022321,1
3533,3,0.135429736,1
3534,3,0.195542045,1
3535,3,0.161455634,1
3536,3,0.254359306,1
3537,3,0.406098566,1
3538,3,0.530762941,1
3539,3,0.461288224,1
3540,3,0.128107883,1
3541,3,0.562936672,1
3542,3,0.321541771,1
3543,3,0.495311553,1
3544,3,0.412631387,1
3545,3,0.094390167,1
3546,3,0.034516496,1
3547,3,0.010887956,1
3548,3,0.028607428,1
3549,3,0.007699343,1
3550,3,0.058414744,1
3551,3,0.096871489,1
3552,3,0.198195238,1
3553,3,0.081544822,1
3554,3,0.017948045,1
3555,3,0.00979339,1
3556,3,0,1
3557,3,0.003106424,1
3558,3,0.013773377,1
3559,3,0.028999421,1
3560,3,0.033242633,1
3561,3,0.112619619,1
3562,3,0.036916445,1
3563,3,0,1
3564,3,0.035278065,1
3565,3,0.102926562,1
3566,3,0.292893796,1
3567,3,0.1272754,1
3568,3,0.319250239,1
3569,3,0.178180435,1
3570,3,0.140920774,1
3571,3,0.071509308,1
3572,3,0.107908388,1
3573,3,0.140818656,1
3574,3,0.055215047,1
3575,3,0.055277623,1
3576,3,0.012394923,1
3577,3,0.025598688,1
3578,3,0.028738081,1
3579,3,0.025887352,1
3580,3,0.107581915,1
3581,3,0.074733457,1
3582,3,0.035777103,1
3583,3,0.018477152,1
3584,3,0.078408923,1
3585,3,0.147183831,1
3586,3,0.018431684,1
3587,3,0.005434463,1
3588,3,0.060133667,1
3589,3,0.1465417,1
3590,3,0.124218033,1
3592,3,0.156491156,1
3593,3,0.010275591,1
3594,3,0.095704401,1
3595,3,0.076202261,1
3596,3,0.013036808,1
3597,3,0.027449044,1
3598,3,0.027033021,1
3599,3,0.01481224,1
3600,3,0.026288293,1
3601,3,0.052330328,1
3602,3,0.023402863,1
3603,3,0.008188889,1
3604,3,0.052292284,1
3605,3,0.024352365,1
3606,3,0.099357038,1
3607,3,0.088570191,1
3608,3,0.132438751,1
3609,3,0.067165541,1
3610,3,0.055994461,1
3611,3,0.031297959,1
3612,3,0.041714758,1
3613,3,0.024116576,1
3614,3,0.055830277,1
3615,3,0.139751136,1
3616,3,0.094566829,1
3617,3,0.073511985,1
3618,3,0.103828419,1
3619,3,0.053336262,1
3620,3,0.071954747,1
3621,3,0.100073107,1
3622,3,0.050550716,1
3623,3,0.054362106,1
3624,3,0.077429246,1
3625,3,0.038067036,1
3626,3,0.155930003,1
3627,3,0.156314209,1
3628,3,0.098665551,1
3629,3,0.012701576,1
3630,3,0.107405624,1
3631,3,0.107504346,1
3632,3,0.086796655,1
3633,3,0.007678699,1
3634,3,0.093774773,1
3635,3,0.06085396,1
3636,3,0.014975086,1
3637,3,0.075028289,1
3638,3,0.011491809,1
3639,3,0.0817712,1
3640,3,0.014726728,1
3641,3,0.121685626,1
3642,3,0.3538903,1
3643,3,0.023306623,1
3644,3,0.094886147,1
3645,3,0.066910225,1
3646,3,0.020946057,1
3647,3,0.013497968,1
3648,3,0.082950155,1
3649,3,0.081179045,1
3650,3,0.23563793,1
3651,3,0.046153892,1
3652,3,0.209788533,1
3653,3,0.018095841,1
3654,3,0.195893162,1
3655,3,0.119727319,1
3656,3,0.142338869,1
3657,3,0.170420429,1
3658,3,0.276945143,1
3659,3,0.127091869,1
3660,3,0.1050455,1
3661,3,0.05794608,1
3662,3,1,1
3663,3,0.435758434,1
3664,3,0.14829755,1
3665,3,0.134876478,1
3666,3,0.126518639,1
3667,3,0.164943235,1
3668,3,0.050458557,1
3669,3,0.093774373,1
3670,3,0.141941816,1
3671,3,0.09897293,1
3672,3,0.010493209,1
3673,3,0,1
3674,3,0.10292867,1
3675,3,0.112454898,1
3676,3,0.060428981,1
3677,3,0.05545575,1
3678,3,0.067673609,1
3679,3,0.15444062,1
3680,3,0.163073108,1
3681,3,0.127991223,1
3682,3,0.060704438,1
3683,3,0.012792909,1
3684,3,0,1
3685,3,0.036033955,1
3686,3,0.028403268,1
3687,3,0.166596346,1
3688,3,0.202397165,1
3689,3,0.114172934,1
3690,3,0.098417094,1
3691,3,0.157248855,1
3692,3,0.091619762,1
3693,3,0.155215347,1
3694,3,0.129946765,1
3695,3,0.07815845,1
3696,3,0.088785642,1
3697,3,0.467101863,1
3698,3,0.448965265,1
3699,3,0.227228103,1
3700,3,0.12920608,1
3701,3,0.367244904,1
3702,3,0.38827416,1
3703,3,0.196817573,1
3704,3,0.16685621,1
3705,3,0.4930316,1
3706,3,0.285414888,1
3707,3,0.455148541,1
3708,3,0.363265954,1
3709,3,0.120086083,1
3710,3,0.229234431,1
3711,3,0.154693336,1
3712,3,0.233003673,1
3713,3,0.029569128,1
3714,3,0.230679618,1
3715,3,0.274865055,1
3716,3,0.125861889,1
3717,3,0.067830749,1
3718,3,0.156433044,1
3719,3,0.154160553,1
3720,3,0.002544247,1
3721,3,0.147508822,1
3722,3,0.127637076,1
3723,3,0.067967507,1
3724,3,0.27793483,1
3725,3,0.193163218,1
3727,3,0.102160253,1
3728,3,0.167597193,1
3729,3,0.128470655,1
3730,3,0.174437952,1
3731,3,0.281853008,1
3733,3,0.134628128,1
3734,3,0.10087774,1
3735,3,0.227732866,1
3736,3,0.127452127,1
3737,3,0.333894642,1
3738,3,0.25270973,1
3739,3,0.27589583,1
