"WP4","campaign","flo_sl","pu"
3854,1,0.003043334,1
3855,1,0.004223852,1
3856,1,0.00207011,1
3857,1,0.003091081,1
3858,1,0.006148501,1
3859,1,0.000243,1
3860,1,0.000235,1
3861,1,0.000293,1
3862,1,0.014199015,1
3863,1,0.00011,1
3864,1,0.000429,1
3865,1,0.001249808,1
3866,1,0.002315809,1
3867,1,0.009357326,1
3868,1,0.003751732,1
3869,1,0.003147241,1
3870,1,0.003613798,1
3871,1,0.002110537,1
3872,1,0.001263198,1
3873,1,0.00531675,1
3874,1,0.003682213,1
3875,1,0.013082221,1
3876,1,0.000823,1
3877,1,0.000244,1
3878,1,0.003604365,1
3879,1,0.001185443,1
3880,1,0.00450139,1
3947,1,0.797114122,1
3507,2,0.003881082,1
3508,2,0.001971225,1
3509,2,0.001945135,1
3510,2,0.000655,1
3511,2,0.000601,1
3512,2,0.001559583,1
3513,2,0.047824245,1
3514,2,0.064383147,1
3515,2,0.008013526,1
3516,2,0.114220793,1
3517,2,0.195009183,1
3518,2,0.194686269,1
3519,2,0.035593669,1
3520,2,0.003777355,1
3521,2,0.218000905,1
3522,2,0.33935107,1
3523,2,0.147288533,1
3524,2,0.278826236,1
3525,2,0.369605136,1
3526,2,0.254419738,1
3527,2,0.555140869,1
3528,2,0.653909486,1
3529,2,0.502683413,1
3530,2,0.629348893,1
3531,2,0.556987591,1
3532,2,0.49826828,1
3533,2,0.466517517,1
3534,2,0.647394313,1
3535,2,0.66532457,1
3536,2,0.503770869,1
3537,2,0.582725593,1
3538,2,0.797114122,1
3539,2,0.604046945,1
3540,2,1,1
3541,2,0.695377475,1
3542,2,0.710303728,1
3543,2,0.587338806,1
3544,2,0.337939034,1
3545,2,0.101010377,1
3546,2,0.061468361,1
3547,2,0.012825953,1
3548,2,0.046373761,1
3549,2,0.018405,1
3550,2,0.082150759,1
3551,2,0.147439396,1
3552,2,0.169275695,1
3553,2,0.086266146,1
3554,2,0.026045986,1
3555,2,0.012043433,1
3556,2,0,1
3557,2,0.007683285,1
3558,2,0.021749356,1
3559,2,0.028905158,1
3560,2,0.032330605,1
3561,2,0.067590364,1
3562,2,0.031212751,1
3563,2,0,1
3564,2,0.048878366,1
3565,2,0.099305301,1
3566,2,0.238545254,1
3567,2,0.089263439,1
3568,2,0.179285878,1
3569,2,0.08506814,1
3570,2,0.055703518,1
3571,2,0.035901977,1
3572,2,0.05136632,1
3573,2,0.114432442,1
3574,2,0.058470777,1
3575,2,0.05082693,1
3576,2,0.010121116,1
3577,2,0.013618491,1
3578,2,0.019749909,1
3579,2,0.028999624,1
3580,2,0.113092575,1
3581,2,0.050807183,1
3582,2,0.021489891,1
3583,2,0.016161286,1
3584,2,0.031810505,1
3585,2,0.133438674,1
3586,2,0.014742442,1
3587,2,0.005535094,1
3588,2,0.042990402,1
3589,2,0.098630811,1
3590,2,0.053508097,1
3592,2,0.11650594,1
3593,2,0.011832722,1
3594,2,0.088711401,1
