id,cost,status
3728,516.421,0
3729,437.132,0
3730,694.975,0
3731,1413.173,0
3733,497.487,0
3734,1408.883,0
3735,607.843,0
3736,1433.883,0
3737,1813.173,0
3738,1801.041,0
3739,1676.041,0
3740,613.909,0
3741,426.777,0
3742,1030.33,0
3743,331.066,0
3744,1480.33,0
3745,1501.041,0
3746,763.909,0
3747,2057.107,0
3748,716.421,0
3749,1686.396,0
3750,1669.975,0
3751,1078.553,0
3752,512.132,0
3753,1305.33,0
3754,1294.239,0
3755,522.487,0
3756,1703.858,0
3757,1628.553,0
3758,656.066,0
3759,678.553,0
3760,982.843,0
3761,793.198,0
3762,905.33,0
3763,512.132,0
3764,1265.685,0
3765,1252.818,0
3766,1249.264,0
3767,634.619,0
3768,1430.33,0
3769,576.777,0
3770,605.33,0
3771,306.066,0
3772,1411.396,0
3773,1403.553,0
3775,1174.264,0
3776,1319.239,0
3777,1639.949,0
3778,1482.107,0
3779,1455.33,0
3780,131.066,0
3781,262.132,0
3782,644.975,0
3783,1831.371,0
3784,1188.909,0
3785,553.553,0
3786,1607.107,0
3787,1586.396,0
3788,487.132,0
3789,1746.016,0
3790,1007.843,0
3791,1691.726,0
3792,1923.528,0
3793,1894.239,0
3794,1922.792,0
3795,1065.685,0
3796,70.711,0
3797,472.487,0
3798,1436.396,0
3799,1369.975,0
3800,574.264,0
3801,1313.909,0
3802,345.711,0
3803,894.975,0
3804,326.777,0
3805,416.421,0
3806,1174.264,0
3807,737.132,0
3808,1411.396,0
3809,776.041,0
3810,1444.239,0
3811,1482.107,0
3812,341.421,0
3813,401.777,0
3814,784.619,0
3815,412.132,0
3816,1698.528,0
3817,341.421,0
3818,599.264,0
3819,1915.685,0
3820,1933.883,0
3821,607.843,0
3822,763.909,0
3823,2206.371,0
3824,1727.818,0
3825,1421.751,0
3826,1413.173,0
3827,1396.751,0
3828,1507.107,0
3829,1502.818,0
3830,1523.528,0
3831,641.421,0
3832,712.132,0
3833,968.198,0
3834,357.843,0
3835,1326.041,0
3836,1413.173,0
3837,1415.685,0
3838,926.041,0
3839,1267.462,0
3840,1302.818,0
3841,1130.33,0
3842,2183.884,0
3843,832.843,0
3844,830.33,0
3845,1398.528,0
3846,1404.594,0
3847,1101.041,0
3848,1384.619,0
3849,1382.107,0
3850,1380.33,0
3851,1719.239,0
3852,522.487,0
3853,728.553,0
3854,1358.883,0
3855,1742.462,0
3856,1315.685,0
3857,1432.107,0
3858,718.198,0
3859,913.909,0
3860,794.975,0
3861,1258.883,0
3862,1251.041,0
3863,391.421,0
3864,1340.685,0
3865,556.066,0
3866,926.041,0
3867,503.553,0
3868,1563.173,0
3869,844.975,0
3870,1482.107,0
3871,1475.305,0
3872,932.107,0
3873,684.619,0
3874,1467.462,0
3875,1458.883,0
3876,1307.107,0
3877,1271.751,0
3878,716.421,0
3879,476.777,0
3880,1539.949,0
3947,75,0
