WP4,campaign,flo_rip,pu
3666,1,0.04499540863112947,103666
3667,1,0.058769513315702473,103667
3668,1,0.058769513315702473,103668
3669,1,0.058769513315702473,103669
3670,1,0.058769513315702473,103670
3671,1,0.07438016528925619,103671
3672,1,0.07438016528925619,103672
3673,1,0.07438016528925619,103673
3674,1,0.07438016528925619,103674
3675,1,0.07438016528925619,103675
3676,1,0.07438016528925619,103676
3677,1,0.091827364553719,103677
3678,1,0.058769513315702473,103678
3679,1,0.07438016528925619,103679
3680,1,0.091827364553719,103680
3681,1,0.091827364553719,103681
3682,1,0.07438016528925619,103682
3683,1,0.07438016528925619,103683
3684,1,0.07438016528925619,103684
3685,1,0.07438016528925619,103685
3686,1,0.058769513315702473,103686
3687,1,0.091827364553719,103687
3688,1,0.058769513315702473,103688
3689,1,0.091827364553719,103689
3690,1,0.07438016528925619,103690
3691,1,0.091827364553719,103691
3692,1,0.091827364553719,103692
3693,1,0.3673094582203856,103693
3694,1,0.3314967860404958,103694
3695,1,0.4857667584961432,103695
3696,1,0.1111111111121212,103696
3697,1,0.1111111111121212,103697
3698,1,0.1111111111121212,103698
3699,1,0.07438016528925619,103699
3700,1,0.07438016528925619,103700
3701,1,0.07438016528925619,103701
3702,1,0.1111111111121212,103702
3703,1,0.1111111111121212,103703
3704,1,0.07438016528925619,103704
3705,1,0.07438016528925619,103705
3706,1,0.07438016528925619,103706
3707,1,0.07438016528925619,103707
3708,1,0.20661157024793386,103708
3709,1,0.091827364553719,103709
3710,1,0.15518824609614323,103710
3711,1,0.15518824609614323,103711
3712,1,0.15518824609614323,103712
3713,1,0.1111111111121212,103713
3714,1,0.15518824609614323,103714
3715,1,0.15518824609614323,103715
3716,1,0.058769513315702473,103716
3717,1,0.20661157024793386,103717
3718,1,0.1111111111121212,103718
3719,1,0.1322314049586777,103719
3720,1,0.23507805325840217,103720
3721,1,0.23507805325840217,103721
3722,1,0.23507805325840217,103722
3723,1,0.07438016528925619,103723
3724,1,0.1322314049586777,103724
3725,1,0.1322314049586777,103725
3727,1,0.1322314049586777,103727
3728,1,0.1322314049586777,103728
3729,1,0.1322314049586777,103729
3730,1,0.1322314049586777,103730
3731,1,0.1322314049586777,103731
3733,1,0.1111111111121212,103733
3734,1,0.1111111111121212,103734
3735,1,0.1322314049586777,103735
3736,1,0.1322314049586777,103736
3737,1,0.1322314049586777,103737
3738,1,0.1322314049586777,103738
3739,1,0.1111111111121212,103739
3740,1,0.07438016528925619,103740
3741,1,0.1322314049586777,103741
3742,1,0.17998163452837462,103742
3743,1,0.17998163452837462,103743
3744,1,0.15518824609614323,103744
3745,1,0.15518824609614323,103745
3746,1,0.1322314049586777,103746
3747,1,0.091827364553719,103747
3748,1,0.1111111111121212,103748
3749,1,0.04499540863112947,103749
3750,1,0.07438016528925619,103750
3751,1,0.091827364553719,103751
3752,1,0.07438016528925619,103752
3753,1,0.091827364553719,103753
3754,1,0.091827364553719,103754
3755,1,0.091827364553719,103755
3756,1,0.07438016528925619,103756
3757,1,0.15518824609614323,103757
3758,1,0.07438016528925619,103758
3759,1,0.1111111111121212,103759
3760,1,0.04499540863112947,103760
3761,1,0.07438016528925619,103761
3762,1,0.20661157024793386,103762
3763,1,0.17998163452837462,103763
3764,1,0.17998163452837462,103764
3765,1,0.26538108356446277,103765
3766,1,0.20661157024793386,103766
3767,1,0.1322314049586777,103767
3768,1,0.15518824609614323,103768
3769,1,0.07438016528925619,103769
3770,1,0.07438016528925619,103770
3771,1,0.07438016528925619,103771
3772,1,0.07438016528925619,103772
3773,1,0.07438016528925619,103773
3775,1,0.04499540863112947,103775
3776,1,0.15518824609614323,103776
3777,1,0.15518824609614323,103777
3778,1,0.15518824609614323,103778
3779,1,0.15518824609614323,103779
3780,1,0.1322314049586777,103780
3781,1,0.1322314049586777,103781
3782,1,0.1322314049586777,103782
3783,1,0.1322314049586777,103783
3784,1,0.1322314049586777,103784
3785,1,0.1322314049586777,103785
3786,1,0.15518824609614323,103786
3787,1,0.3314967860404958,103787
3788,1,0.1322314049586777,103788
3789,1,0.07438016528925619,103789
3790,1,0.1322314049586777,103790
3791,1,0.29752066115702475,103791
3792,1,0.20661157024793386,103792
3793,1,0.20661157024793386,103793
3794,1,0.1111111111121212,103794
3795,1,0.40495867768595034,103795
3796,1,0,103796
3797,1,0.1322314049586777,103797
3798,1,0.1322314049586777,103798
3799,1,0.1322314049586777,103799
3800,1,0.1322314049586777,103800
3801,1,0.1322314049586777,103801
3802,1,0.1111111111121212,103802
3803,1,0.20661157024793386,103803
3804,1,0.04499540863112947,103804
3805,1,0.058769513315702473,103805
3806,1,0,103806
3807,1,0.23507805325840217,103807
3808,1,0.23507805325840217,103808
3809,1,0.23507805325840217,103809
3810,1,0.23507805325840217,103810
3811,1,0.20661157024793386,103811
3812,1,0.26538108356446277,103812
3813,1,0.15518824609614323,103813
3814,1,0.20661157024793386,103814
3815,1,0.3314967860404958,103815
3816,1,0.20661157024793386,103816
3817,1,0,103817
3818,1,0.29752066115702475,103818
3819,1,0.5289256198347108,103819
3820,1,0.5289256198347108,103820
3821,1,0,103821
3822,1,0,103822
3823,1,0.29752066115702475,103823
3824,1,0.26538108356446277,103824
