WP4,campaign,flo_sl,pu
3677,1,0.035555730669766174,103677
3678,1,0.025325091574332114,103678
3679,1,0.07026217137592049,103679
3680,1,0.06138827192753697,103680
3681,1,0.09735546855397327,103681
3682,1,0.050153645004896406,103682
3683,1,0.03835866603038288,103683
3684,1,0,103684
3685,1,0.03193734508397253,103685
3686,1,0.042056688341770086,103686
3687,1,0.14002526968321347,103687
3688,1,0.13281669407949623,103688
3689,1,0.07749838992597523,103689
3690,1,0.13270326410516373,103690
3691,1,0.14782995452991268,103691
3692,1,0.106774990486454,103692
3693,1,0.16562495215235823,103693
3694,1,0.18186060234504564,103694
3695,1,0.14846785906055643,103695
3696,1,0.06941904914834607,103696
3697,1,0.6499787272269792,103697
3698,1,0.5135458846928448,103698
3699,1,0.16845211223022885,103699
3700,1,0.1504180760897674,103700
3701,1,0.19979474319484902,103701
3702,1,0.4293074205582377,103702
3703,1,0.14677337158665102,103703
3704,1,0.33217293601391995,103704
3705,1,0.48865533842728026,103705
3706,1,0.16747421124279355,103706
3707,1,0.43626800868656734,103707
3708,1,0.5495646055649719,103708
3709,1,0.3460959051531239,103709
3710,1,0.4988317574310485,103710
3711,1,0.6620448950026083,103711
3712,1,0.8832620329881506,103712
3713,1,0.36777950248621927,103713
3714,1,0.5538285993084139,103714
3715,1,0.7112608665169196,103715
3716,1,0.10616594863845354,103716
3717,1,0.12907436925157664,103717
3718,1,0.23663125367591112,103718
3719,1,0.23345358867713378,103719
3720,1,0.006765302163633982,103720
3721,1,0.15471449120316663,103721
3722,1,0.20432081048245745,103722
3723,1,0.08940412998297852,103723
3724,1,0.4689725727289445,103724
3725,1,0.2152496719544089,103725
3727,1,0.5379798412496729,103727
3728,1,0.36527235200514735,103728
3729,1,0.3744966828069665,103729
3730,1,0.6263166497260079,103730
3731,1,0.3741359701212549,103731
3733,1,0.37238401600463966,103733
3734,1,0.3282458513045201,103734
3735,1,0.40079519220414084,103735
3736,1,0.4806413627186102,103736
3737,1,0.379864105466416,103737
3738,1,0.4827355475793878,103738
3739,1,0.6071101075961833,103739
3740,1,0.5200593046944451,103740
3741,1,0.43255420775999576,103741
3742,1,0.3608448136315203,103742
3743,1,0.47596295963962054,103743
3744,1,0.35235645193375903,103744
3745,1,0.24649302009302287,103745
3746,1,0.3071786136808672,103746
3747,1,0.19923521293490268,103747
3748,1,0.39371169576742243,103748
3749,1,0.10129890273740433,103749
3750,1,0.12010410445289614,103750
3751,1,0.18366605701400257,103751
3752,1,0.7005391818003779,103752
3753,1,0.38747046588822226,103753
3754,1,0.08502280415998947,103754
3755,1,0.10107002067242783,103755
3756,1,0.07385380714920378,103756
3757,1,0.06958428675768645,103757
3758,1,0.08843442472092557,103758
3759,1,0.18502655651521657,103759
3760,1,0.08985668281583914,103760
3761,1,0.385638253617258,103761
3762,1,0.32709220183259446,103762
3763,1,0.28845172540381103,103763
3764,1,0.3554327249456815,103764
3765,1,0.3257181541088185,103765
3766,1,0.2776422163967189,103766
3767,1,0.22887558807160266,103767
3768,1,0.28378381026423044,103768
3769,1,0.2342625728779978,103769
3770,1,0.2911369231364688,103770
3771,1,0.4101493614319433,103771
3772,1,0.19658393469029134,103772
3773,1,0.1714143258641022,103773
3775,1,0.29338480769244807,103775
3776,1,0.34817403752989623,103776
3777,1,0.3644435843367105,103777
3778,1,0.38055697757132434,103778
3779,1,0.3992763165894223,103779
3780,1,0.37184644149276863,103780
3781,1,0.40357537883353,103781
3782,1,0.4249715794006729,103782
3783,1,0.49806004133641335,103783
3784,1,0.3347221293155562,103784
3785,1,0.29965307108258266,103785
3786,1,0.2938302863638422,103786
3787,1,0.11838729574277355,103787
3788,1,0.24648501669402914,103788
3789,1,0.09540390066525811,103789
3790,1,0.21892333224320334,103790
3791,1,0.23816276762576388,103791
3792,1,0.41441091873202246,103792
3793,1,0.20448980738956862,103793
3794,1,0.3173511064690732,103794
3795,1,0.20596188389216563,103795
3796,1,0.2444074004641608,103796
3797,1,0.20478315162189517,103797
3798,1,0.32156185504439433,103798
3799,1,0.233451169049193,103799
3800,1,0.2038699956965558,103800
3801,1,0.2656496207287482,103801
3802,1,0.20966805364641847,103802
3803,1,0.1488162929644209,103803
3804,1,0.21966475788986417,103804
3805,1,0.17102927316421773,103805
3806,1,0.22289077631450857,103806
3807,1,0.26157124414419924,103807
3808,1,0.25242026011102,103808
3809,1,0.19347311433214096,103809
3810,1,0.26057428732711907,103810
3811,1,0.27199635483097084,103811
3812,1,0.20845685357831611,103812
3813,1,0.18748245031363525,103813
3814,1,0.1379643742885516,103814
3815,1,0.12766273028109185,103815
3816,1,0.20113290569538778,103816
3817,1,0.16765865416593428,103817
3818,1,0.1879623453317017,103818
3819,1,0.08727614581496437,103819
3820,1,0.15798120968747517,103820
3821,1,0.07840805850590107,103821
3822,1,0.004105727115644373,103822
3823,1,0.07941582801022672,103823
3824,1,0.09004306520007388,103824
3825,1,0.16048893955874766,103825
3826,1,0.1669987579689794,103826
3827,1,0.1897752283987715,103827
3828,1,0.21521104563192875,103828
3829,1,0.14570275122805557,103829
3830,1,0.1682441606053382,103830
3831,1,0.1103776866035282,103831
3832,1,0.08057164252955044,103832
3833,1,0.03476707013190533,103833
3834,1,0.04539737471436697,103834
3835,1,7.302721380137567e-5,103835
3836,1,3.147897065311685e-4,103836
3837,1,4.1135572910634e-4,103837
3838,1,0.004766371598876257,103838
3839,1,0.003357804781254088,103839
3840,1,0.004048073525008156,103840
3841,1,0.003781647259411498,103841
3842,1,0.0032113529656648413,103842
3843,1,0.01595984784563713,103843
3844,1,0.0035720035208652266,103844
3845,1,0.001734369389105772,103845
3846,1,8.281617568538412e-4,103846
3847,1,0.027491776312332863,103847
3848,1,0.052056213619534386,103848
3849,1,0.06005966658334486,103849
3850,1,0.0682493886127561,103850
3851,1,0.12191794525716051,103851
3852,1,0.06123185685079659,103852
3853,1,0.09324014663274706,103853
3854,1,0.003043333640419001,103854
3855,1,0.00422385193105814,103855
3856,1,0.0020701095658577527,103856
3857,1,0.003091080536488962,103857
3858,1,0.0061485006166153095,103858
3859,1,2.4274588580713852e-4,103859
3860,1,2.354597387454794e-4,103860
3861,1,2.9296916186699406e-4,103861
3862,1,0.014199014753479861,103862
