WP4,campaign,dem,pu
3527,2,0.0023020467815961796,203527
3527,3,0.0026251774712589947,303527
3527,4,0.00264338974880942,403527
3527,5,0.002397054325150365,503527
3527,6,0.00302988085304013,603527
3528,1,0.002535331067251005,103528
3528,2,0.00227333847824341,203528
3528,3,0.0026175557658541003,303528
3528,4,0.002679179344844445,403528
3528,5,0.0023864103596206946,503528
3528,6,0.003018874293122145,603528
3529,1,0.00247437668257809,103529
3529,2,0.002251099094058925,203529
3529,3,0.00262155266135183,303529
3529,4,0.00269060558900579,403529
3529,5,0.00235602669238166,503529
3529,6,0.00293304560747209,603529
3530,1,0.0024583775242090853,103530
3530,2,0.00229091690269154,203530
3530,3,0.002604486350382465,303530
3530,4,0.002680733658021975,403530
3530,5,0.002335720509064565,503530
3530,6,0.0029001305714795303,603530
3531,1,0.0024660534428043203,103531
3531,2,0.0022622898894148298,203531
3531,3,0.0026129560547893498,303531
3531,4,0.00279659599716056,403531
3531,5,0.002339868491722745,503531
3531,6,0.002905088038493835,603531
3532,1,0.0024748028837159102,103532
3532,2,0.002254199052844085,203532
3532,3,0.002621425065514215,303532
3532,4,0.00279496233196753,403532
3532,5,0.002370583241772425,503532
3532,6,0.002913226447794795,603532
3533,1,0.002466152879618605,103533
3533,2,0.0022721647688701448,203533
3533,3,0.0026632751190864548,303533
3533,4,0.002796625310706455,403533
3533,5,0.002354586602411895,503533
3533,6,0.002824202387869445,603533
3534,1,0.0024636998347015446,103534
3534,2,0.002315073465101805,203534
3534,3,0.002642168083340935,303534
3534,4,0.002778415740039335,403534
3534,5,0.0023880668596199797,503534
3534,6,0.00281680350919442,603534
3535,1,0.00249492434302502,103535
3535,2,0.00241871066574318,203535
3535,3,0.00264825531123453,303535
3535,4,0.00278708484772773,403535
3535,5,0.0023561574842433652,503535
3535,6,0.0027448347384592103,603535
3536,1,0.002492119148059145,103536
3536,2,0.0022606557117715647,203536
3536,3,0.00257013681330869,303536
3536,4,0.00267722099747361,403536
3536,5,0.0023871905653365102,503536
3536,6,0.00277225092880794,603536
3537,1,0.00221865135482148,103537
3537,2,0.00198378516988678,203537
3537,3,0.002340111113368545,303537
3537,4,0.002488482580873395,403537
3537,5,0.002213176634252365,503537
3537,6,0.00237309576288743,603537
3538,1,0.00228992982887854,103538
3538,2,0.002011443175276365,203538
