WP4,campaign,co2,pu
3533,4,12261.608440308577,403533
3533,5,7192.875512930702,503533
3533,6,6920.613512999623,603533
3534,1,27412.962375775445,103534
3534,2,26883.890792767626,203534
3534,3,31913.09530943145,303534
3534,4,46081.62531190279,403534
3534,5,26276.03589669508,503534
3534,6,25567.832405636007,603534
3535,1,10061.64458408855,103535
3535,2,10205.714232021634,203535
3535,3,11215.46346547148,303535
3535,4,15488.972299048537,403535
3535,5,9217.745720313991,503535
3535,6,9534.97254714909,603535
3536,1,20535.1532728663,103536
3536,2,21091.604363094706,203536
3536,3,22920.45172762234,303536
3536,4,32130.609179431834,403536
3536,5,18535.353628711666,503536
3536,6,19452.00283535335,603536
3537,1,21153.135654592552,103537
3537,2,21848.13860673088,203537
3537,3,23480.29139745362,303537
3537,4,33098.71499641401,403537
3537,5,18321.834033952626,503537
3537,6,19702.70939070813,603537
3538,1,21609.813544363897,103538
3538,2,22469.253694907864,203538
3538,3,24033.778466845528,303538
3538,4,33490.73043569441,403538
3538,5,19068.101055286636,503538
3538,6,20501.74807326478,603538
3539,1,22075.752733221663,103539
3539,2,23012.878818372632,203539
3539,3,24591.401101050735,303539
3539,4,34678.06460012246,403539
3539,5,19244.522437919863,503539
3539,6,20707.8099844031,603539
3540,1,4416.8530587121295,103540
3540,2,4638.588853305867,203540
3540,3,4223.814245075559,303540
3540,4,5083.947428415013,403540
3540,5,3559.608594432886,503540
3540,6,4304.934289882087,603540
3541,1,32093.90292562588,103541
3541,2,27795.230412566772,203541
3541,3,29504.07042177364,303541
3541,4,42211.509204317554,403541
3541,5,20858.29285900634,503541
3541,6,26463.26178891229,603541
3542,1,9155.70734823124,103542
3542,2,8555.276851691138,203542
3542,3,9311.924716467898,303542
3542,4,13346.574349608765,403542
3542,5,6571.713846692905,503542
3542,6,7758.358524117115,603542
3543,1,9732.526630297678,103543
3543,2,8457.210857435102,203543
3543,3,6747.134597174081,303543
3543,4,17731.587672228554,403543
3543,5,1920.6582129515486,503543
3543,6,10168.59962120547,603543
3544,1,21629.974070391214,103544
3544,2,18545.358441775512,203544
3544,3,12177.202522487605,303544
3544,4,35662.455810139436,403544
3544,5,3759.573110473052,503544
3544,6,22661.04847373513,603544
3545,1,1338.0983816489443,103545
3545,2,1284.5887362738445,203545
3545,3,652.8698094303644,303545
3545,4,2715.2149660106365,403545
3545,5,371.8653362091984,503545
3545,6,1771.629746740141,603545
3546,1,20741.867300027632,103546
3546,2,17648.94629730937,203546
3546,3,9952.416128595987,303546
3546,4,24523.18097965274,403546
3546,5,3477.3298418977206,503546
3546,6,21752.312989425023,603546
3547,1,698.3848516260032,103547
3547,2,691.5902346185846,203547
3547,3,429.3262199406836,303547
3547,4,1824.4459214588296,403547
3547,5,121.32123660146769,503547
3547,6,970.9566237759816,603547
3548,1,1281.5992210669071,103548
3548,2,1262.0850290845092,203548
3548,3,767.5615796922534,303548
3548,4,3262.3071983053355,403548
3548,5,217.70185914947314,503548
3548,6,1576.6248211624788,603548
3549,1,1353.6770688071845,103549
3549,2,1619.3802990978113,203549
3549,3,1096.108402943019,303549
3549,4,4784.418676265057,403549
3549,5,301.2366614572183,503549
3549,6,1969.513474233319,603549
3550,1,4032.2516327280227,103550
3550,2,3146.2087423433213,203550
3550,3,1189.1048615789255,303550
3550,4,5188.674378414278,403550
3550,5,705.3977876937292,503550
3550,6,3848.8322676749567,603550
3551,1,3753.6861523065127,103551
3551,2,3806.6238593542685,203551
3551,3,2567.56691213169,303551
3551,4,10965.62080092137,403551
3551,5,680.7221506887556,503551
3551,6,4600.353614979559,603551
3552,1,5012.338312584079,103552
3552,2,5032.006093765727,203552
3552,3,3575.5145080273905,303552
3552,4,15098.43605957353,403552
3552,5,898.3658472701063,503552
3552,6,6145.841943247675,603552
3553,1,663.2678155312482,103553
3553,2,930.8699096774296,203553
3553,3,714.0100893588449,303553
3553,4,3027.395826226274,403553
3553,5,182.75525084443905,503553
3553,6,1003.2422442550137,603553
3554,1,2955.173663171002,103554
3554,2,3207.8405004752144,203554
3554,3,2558.0616047638846,303554
3554,4,10655.47799692375,403554
3554,5,633.281056844899,503554
3554,6,4227.180426370171,603554
3555,1,1930.8667345372849,103555
3555,2,1818.4779913573411,203555
3555,3,1392.5863579306715,303555
3555,4,4917.323029843299,403555
3555,5,587.9360431573405,503555
3555,6,2891.435814154006,603555
3556,1,1312.3306845639086,103556
3556,2,1182.6500143622393,203556
3556,3,890.2341113182475,303556
3556,4,1863.6298687448689,403556
3556,5,224.90424357882708,503556
3556,6,1382.827003801468,603556
3557,1,658.5417384473838,103557
3557,2,574.7721816010495,203557
3557,3,487.2929490935468,303557
3557,4,1190.2651748696453,403557
3557,5,151.531791841496,503557
3557,6,957.4100392150233,603557
3558,1,2483.559857747621,103558
3558,2,2198.0283691697523,203558
