@context
jams.components.core.SpatialContext	HRULoop	506
@ancestors
jams.components.core.TemporalContext	TimeLoop	9999
@filters
@attributes
ID	value
@types
JAMSLong	JAMSDouble
@data
TimeLoop	1985-01-01 00:00
@start
2489800	+3.65000E002
2489600	+3.65000E002
2489400	+3.65000E002
2489200	+3.61000E002
2489000	+3.65000E002
2488800	+3.65000E002
2488600	+3.57000E002
2488400	+3.65000E002
2488200	+3.65000E002
2488000	+3.65000E002
2487800	+3.20000E002
2487600	+3.65000E002
2487400	+3.65000E002
2487200	+3.65000E002
2487000	+3.65000E002
2486800	+3.65000E002
2486600	+3.65000E002
2486400	+3.45000E002
2486200	+3.65000E002
2486000	+3.65000E002
2485800	+3.65000E002
2485600	+3.65000E002
2485400	+3.65000E002
2485200	+3.65000E002
2485000	+3.65000E002
2484800	+3.65000E002
2484600	+3.65000E002
2484400	+3.65000E002
2484200	+3.62000E002
2484000	+3.65000E002
2483801	+3.65000E002
2483600	+3.65000E002
2483400	+3.65000E002
2483200	+3.65000E002
2483000	+3.65000E002
2482800	+3.65000E002
2482600	+3.65000E002
2482400	+3.65000E002
2482200	+3.65000E002
2482000	+3.65000E002
2481800	+3.06000E002
2481600	+3.21000E002
2481400	+3.00000E002
2481200	+3.01000E002
2481000	+3.65000E002
2480800	+3.00000E002
2480600	+3.02000E002
2480400	+3.45000E002
2480200	+3.65000E002
2480000	+3.52000E002
2479800	+3.65000E002
2479600	+3.65000E002
2479400	+1.80000E002
2479200	+3.17000E002
2479000	+3.65000E002
2478800	+2.72000E002
2478600	+3.17000E002
2478400	+2.94000E002
2478200	+2.89000E002
2478000	+2.90000E002
2477800	+1.84000E002
2477600	+3.65000E002
2477400	+1.86000E002
2477200	+2.00000E002
2477000	+3.65000E002
2476800	+2.08000E002
2476600	+3.65000E002
2476400	+2.88000E002
2476200	+3.63000E002
2476000	+2.24000E002
2475800	+3.65000E002
2475600	+2.79000E002
2475400	+3.65000E002
2475200	+2.40000E002
2475000	+3.65000E002
2474800	+2.50000E002
2474600	+3.65000E002
2474400	+3.49000E002
2474200	+3.18000E002
2474000	+3.24000E002
2473800	+3.24000E002
2473600	+3.65000E002
2473400	+3.65000E002
2473200	+3.65000E002
2473000	+3.65000E002
2472800	+3.65000E002
2472600	+3.65000E002
2472400	+3.65000E002
2472200	+3.65000E002
2472000	+2.90000E002
2471800	+2.84000E002
2471600	+3.65000E002
2471401	+3.65000E002
2471400	+3.65000E002
2471200	+3.05000E002
2471000	+3.65000E002
2470800	+3.10000E002
2470600	+3.10000E002
2470400	+3.65000E002
2470200	+3.65000E002
2470000	+3.65000E002
2469800	+3.65000E002
2469600	+3.65000E002
2469400	+3.65000E002
2469200	+2.98000E002
2469000	+3.39000E002
2468800	+2.79000E002
2468600	+3.17000E002
2468400	+3.01000E002
2468200	+3.65000E002
2468000	+3.65000E002
2467800	+3.65000E002
2467600	+3.65000E002
2467400	+3.04000E002
2467200	+3.65000E002
2467000	+3.65000E002
2466800	+2.51000E002
2466600	+3.19000E002
2466400	+3.00000E002
2466200	+3.14000E002
2466000	+3.63000E002
2465800	+2.82000E002
2465600	+2.72000E002
2465400	+1.52000E002
2465200	+3.25000E002
2465000	+2.77000E002
2464800	+3.65000E002
2464600	+3.65000E002
2464400	+3.65000E002
2464200	+3.56000E002
2464000	+2.89000E002
2463800	+3.19000E002
2463600	+2.20000E002
2463400	+3.65000E002
2463200	+3.56000E002
2463000	+2.57000E002
2462800	+3.61000E002
2462600	+3.65000E002
2462400	+2.96000E002
2462200	+3.65000E002
2462000	+2.86000E002
2461800	+3.65000E002
2461600	+3.08000E002
2461400	+3.65000E002
2461200	+3.52000E002
2461000	+3.03000E002
2460800	+3.65000E002
2460600	+3.62000E002
2460400	+3.12000E002
2460201	+2.19000E002
2460200	+2.42000E002
2460001	+3.65000E002
2460000	+3.65000E002
2459800	+2.06000E002
2459600	+3.59000E002
2459400	+3.65000E002
2459200	+3.65000E002
2459000	+3.65000E002
2458800	+3.56000E002
2458601	+2.86000E002
2458600	+2.91000E002
2458400	+3.65000E002
2458200	+3.65000E002
2458000	+3.09000E002
2457800	+3.31000E002
2457600	+3.23000E002
2457400	+2.92000E002
2457200	+2.24000E002
2457000	+3.65000E002
2456800	+3.24000E002
2456600	+3.65000E002
2456400	+3.41000E002
2456200	+3.16000E002
2456000	+3.65000E002
2455800	+3.32000E002
2455600	+3.65000E002
2455401	+3.02000E002
2455400	+3.15000E002
2455200	+3.29000E002
2455000	+3.03000E002
2454800	+3.08000E002
2454600	+3.01000E002
2454400	+3.01000E002
2454200	+3.65000E002
2454000	+2.79000E002
