WP4,campaign,temp_beta,pu
3786,1,0.0734147506619098,103786
3787,1,0.0928646896592631,103787
3788,1,0.0696929676905596,103788
3789,1,0.0608064516529743,103789
3790,1,0.0696359071767081,103790
3806,1,0.0706451342329399,103806
3520,1,0.0608424995416774,103520
3807,1,0.0608424995416774,103807
3815,1,0.0749699035738425,103815
3808,1,0.0774928042592706,103808
3814,1,0.0783924917577584,103814
3809,1,0.0629714339750567,103809
3813,1,0.0778913148087102,103813
3810,1,0.0900115443789606,103810
3812,1,0.0720995149966156,103812
3811,1,0.0803987169382639,103811
3816,1,0.140891250927174,103816
3817,1,0.114096645824072,103817
3821,1,0.0654126273586859,103821
3823,1,0.0715379371115075,103823
3834,1,0.0637983811141091,103834
3824,1,0.0586207369519892,103824
3833,1,0.157401082737938,103833
3825,1,0.0627867256227851,103825
3826,1,0.0673346616507253,103826
3827,1,0.0758340488983399,103827
3832,1,0.0686127220230729,103832
3828,1,0.0816863781350935,103828
3829,1,0.104614181609837,103829
3831,1,0.0863309661429847,103831
3830,1,0.0998855901213759,103830
3869,1,0.111147177160939,103869
3507,2,0.151673455973907,203507
3838,2,0.098461069529618,203838
3839,2,0.104452132260771,203839
3840,2,0.104452132260771,203840
3868,2,0.0887546923522876,203868
3841,2,0.105445070773174,203841
3842,2,0.102986524933987,203842
3843,2,0.106409764067368,203843
3844,2,0.102727106326219,203844
3855,2,0.0843849244518589,203855
3856,2,0.0657860772732522,203856
3857,2,0.0950167763846417,203857
3845,2,0.0703232169298946,203845
3846,2,0.0703232169298946,203846
3854,2,0.0864734157877235,203854
3847,2,0.087330342206702,203847
3853,2,0.124310159134506,203853
3848,2,0.0613540458515529,203848
3849,2,0.0613540458515529,203849
3850,2,0.0613540458515529,203850
3851,2,0.0740223068390164,203851
3852,2,0.0749450928027779,203852
3858,2,0.113344311713027,203858
3865,2,0.0755134213703674,203865
3859,2,0.114857057071827,203859
3860,2,0.110380041534866,203860
3863,2,0.107989361220401,203863
3861,2,0.111606820786365,203861
3862,2,0.111606820786365,203862
3864,2,0.0804027278782969,203864
3866,2,0.110568887592899,203866
3867,2,0.0919061750269354,203867
3880,2,0.0656761928408682,203880
3870,2,0.111147177160939,203870
3871,2,0.111147177160939,203871
3872,2,0.0976674259867416,203872
3878,2,0.10154828119167,203878
3873,2,0.0980517210500111,203873
3874,2,0.0924223607721491,203874
3875,2,0.0924223607721491,203875
3876,2,0.0846905891532481,203876
3877,2,0.0846905891532481,203877
3879,2,0.102317576176844,203879
3508,2,0.135729599924623,203508
3509,2,0.135729599924623,203509
3836,2,0.0764877071814715,203836
3837,2,0.0764877071814715,203837
3510,2,0.136077675890585,203510
3835,2,0.0795808129494071,203835
3511,2,0.133070751122442,203511
3512,2,0.133070751122442,203512
3513,2,0.120789890580532,203513
3822,2,0.0652665180002956,203822
3514,2,0.134688847008974,203514
3515,2,0.135528027009094,203515
3819,2,0.0698074736233595,203819
3820,2,0.0698074736233595,203820
3516,2,0.125523787418513,203516
3818,2,0.0638674050546641,203818
3517,2,0.113134146846215,203517
3518,2,0.124445201822369,203518
3519,2,0.123814409265967,203519
3521,2,0.105923804074512,203521
3805,2,0.0796469372079375,203805
3522,2,0.112745555212079,203522
3523,2,0.0936352646793997,203523
3524,2,0.0936352646793997,203524
3771,2,0.0682975603806607,203771
3772,2,0.0682975603806607,203772
3773,2,0.0682975603806607,203773
3525,2,0.0932201759927011,203525
3763,2,0.0798865134793563,203763
3770,2,0.071763736020269,203770
3764,2,0.0722383665829128,203764
3767,2,0.0736002242661232,203767
3769,2,0.08547835134982,203769
3768,2,0.0767683475324442,203768
3765,2,0.171856218033496,203765
3766,2,0.102540643862697,203766
3526,2,0.0968913928027435,203526
3527,2,0.0976547258073062,203527
3737,2,0.0774144058170158,203737
3738,2,0.068597031058641,203738
3739,2,0.0676086700479832,203739
3751,2,0.0812594313123151,203751
3740,2,0.0689724718966412,203740
3749,2,0.0683185310883742,203749
3750,2,0.0682522802148609,203750
3741,2,0.0799436882906141,203741
3742,2,0.0899764080621689,203742
3743,2,0.0836506808195931,203743
3744,2,0.0999151790086033,203744
3745,2,0.0999151790086033,203745
3746,2,0.0701125172478324,203746
3747,2,0.0654504072357759,203747
3748,2,0.114117935941905,203748
3752,2,0.0648690108493026,203752
3761,2,0.0856369044591439,203761
3753,2,0.0647292867878234,203753
3754,2,0.0647292867878234,203754
3760,2,0.0764448142384597,203760
