WP4,campaign,rich,simp,FD,FR,pu
3669,2,13.19263333,12.1906571,0.306898301,8.03881591082699e-6,203669
3669,6,14.7782,12.43460588,0.279721138,8.49525442973524e-6,603669
3669,1,15.65293333,11.39542144,0.313272459,8.71177761114668e-6,103669
3669,5,13.41586667,12.874844,0.279016249,7.97201811214609e-6,503669
3669,4,13.77863333,12.30569944,0.266905811,7.64559417098661e-6,403669
3670,3,12.6906,11.39019492,0.280253019,7.03989095916525e-6,303670
3670,2,13.12566667,11.07082231,0.306015123,7.55325939733962e-6,203670
3670,6,14.29126667,11.53123596,0.277311484,8.07813640528927e-6,603670
3670,4,12.8961,12.19532838,0.266709375,7.57075941976172e-6,403670
3670,1,15.76426667,10.2372128,0.239674565,8.83234440432796e-6,103670
3670,5,13.40333333,12.56899332,0.27929284,7.63044187803876e-6,503670
3671,6,13.9236,11.65806501,0.277550433,7.91907333987053e-6,603671
3671,1,15.14056667,10.31757572,0.239681584,8.67671354509919e-6,103671
3671,2,12.56763333,11.20568149,0.306256986,7.33818134419405e-6,203671
3671,4,12.46983333,12.2511192,0.265947847,7.48570954422223e-6,403671
3671,3,12.25053333,11.41154684,0.280622191,6.85801885581045e-6,303671
3671,5,13.11333333,12.69956417,0.279341852,7.52633329871731e-6,503671
3672,5,14.92496667,12.57523511,0.305019582,7.83778963011497e-6,503672
3672,2,17.32833333,13.35213061,0.306773154,8.59461026845762e-6,203672
3672,3,16.84163333,12.27284945,0.311627293,8.51466881941466e-6,303672
3672,1,18.09753333,13.66848769,0.305709393,9.27231503821065e-6,103672
3672,6,15.9949,12.86317955,0.309202555,8.55884025085834e-6,603672
3672,4,15.4176,12.5532427,0.305736828,8.3047802959207e-6,403672
3673,5,15.79306667,13.49149375,0.304362048,7.62152700157917e-6,503673
3673,4,16.45023333,12.70973998,0.305249879,7.89591994053853e-6,403673
3673,3,17.92806667,14.57266468,0.311091258,7.69720736682588e-6,303673
3673,1,18.73836667,13.6930752,0.312438419,9.9109117335524e-6,103673
3673,2,16.92676667,13.23665024,0.308389284,8.1141371137989208e-06,203673
3673,6,15.95786667,12.57625805,0.30882804,7.56564098240608e-6,603673
3674,2,25.01663333,18.20766778,0.308141628,1.28095589641129e-5,203674
3674,3,20.06333333,15.60959905,0.301336567,9.09234127698345e-6,303674
3674,5,20.65626667,14.59285944,0.310264912,1.04856793052329e-5,503674
3674,6,22.15473333,14.87127275,0.309348647,1.13415832705128e-5,603674
3674,4,21.22553333,14.18589065,0.30961502,9.74838260096048e-6,403674
3674,1,19.9783,16.81139534,0.311393359,1.14768668888793e-5,103674
3675,6,25.07693333,18.87412912,0.30491041,1.71185824263155e-5,603675
3675,3,20.05006667,15.41139215,0.304031845,8.42666319117658e-6,303675
3675,2,25.11943333,18.45464258,0.303126365,1.32259410553869e-5,203675
3675,4,23.2866,17.40121786,0.30700441,1.11423752128276e-5,403675
3675,5,24.36373333,17.49777396,0.306932943,1.60941402521289e-5,503675
3675,1,26.06076667,19.44112303,0.30339194,1.85539711963654e-5,103675
3676,3,12.9966,10.298883439999999,0.279673565,4.02865982762322e-6,303676
3676,1,14.39053333,9.515868992,0.239812675,4.68200156361914e-6,103676
3676,4,15.12493333,11.71586577,0.268414485,5.09674358738762e-6,403676
3676,5,13.876,12.59185585,0.278883623,5.59907082652286e-6,503676
3676,2,11.74906667,9.880665515,0.30601332,2.95124208655953e-6,203676
3676,6,13.7855,11.61446273,0.27078721,5.45249848456217e-6,603676
3677,1,26.1134,17.74585447,0.308877923,1.84183685997736e-5,103677
3677,2,25.93253333,18.05060175,0.306728303,1.62116050811675e-5,203677
3677,6,26.9816,20.60016545,0.308268256,1.83331547133293e-5,603677
3677,5,26.3673,19.36944962,0.309922076,1.74346828533442e-5,503677
3677,4,23.2851,16.53632629,0.310702163,1.1465803014734e-5,403677
3677,3,21.96773333,16.5313828,0.307545201,1.08097911362621e-5,303677
3678,2,21.22146667,14.97351951,0.307080771,1.38597567333265e-5,203678
3678,3,20.26253333,14.47077544,0.308238365,1.13626221733113e-5,303678
3678,6,12.6942,12.92370349,0.303180858,1.19578495906232e-5,603678
3678,1,20.94313333,14.80763007,0.309471098,1.54059414301516e-5,103678
3678,4,20.33006667,14.82399387,0.310311693,1.21449735462996e-5,403678
3678,5,20.4494,15.54077558,0.307698796,1.4337794544291e-5,503678
3679,1,15.56936667,11.74637222,0.312253991,4.61015870961633e-6,103679
3679,2,14.6445,11.55491486,0.308243013,3.49862249718257e-6,203679
3679,3,14.71636667,11.71857722,0.31148823,3.85478443694565e-6,303679
3679,6,14.66086667,12.84734444,0.309603524,5.72471925120136e-6,603679
3679,5,14.8025,13.07611955,0.302384373,5.91275339595007e-6,503679
3679,4,14.02386667,12.11713973,0.308620257,5.09819513240064e-6,403679
3680,2,14.31153333,11.97371143,0.300891206,7.81424241435403e-6,203680
3680,4,13.77766667,12.48112288,0.296355611,8.24066491836839e-6,403680
3680,5,13.38446667,12.58239724,0.294943601,8.68950055000284e-6,503680
3680,6,12.8486,11.87817419,0.30250932,8.4799774300961e-6,603680
3680,1,14.9427,12.28591934,0.304111288,8.77568412436593e-6,103680
3680,3,14.19713333,11.81638301,0.30376482,6.7058587060164e-6,303680
3681,1,27.18746667,20.39026357,0.313308993,1.85843385829517e-5,103681
3681,2,25.21413333,18.38058737,0.308913003,1.35094333008933e-5,203681
3681,3,21.64183333,16.27886408,0.312533426,1.1709061119854301e-05,303681
3681,5,23.15803333,17.50301858,0.315163525,1.51169695622404e-5,503681
3681,4,22.64083333,17.03937847,0.317495899,1.0430603745243e-5,403681
3681,6,24.5416,18.14201856,0.309110204,1.57094947316927e-5,603681
3682,6,21.41583333,14.18111111,0.308153943,1.11696866377953e-5,603682
3682,2,16.48086667,12.53185635,0.306938729,5.6139958735193e-6,203682
3682,3,14.89416667,11.06782319,0.30971608,4.88478124729446e-6,303682
3682,1,15.54613333,12.12157586,0.30543441,5.66399077340372e-6,103682
3682,5,20.9053,13.97053657,0.311007641,1.15626855853615e-5,503682
3682,4,20.2667,13.4897638,0.312127851,9.69439436365247e-6,403682
3683,1,16.36786667,12.73551845,0.311300757,5.32639640042488e-6,103683
3683,3,14.41313333,12.08060335,0.309334582,3.85159879893536e-6,303683
3683,6,15.0185,12.21453465,0.308676088,4.67519191750068e-6,603683
3683,4,15.47636667,12.89901375,0.309828355,6.36625620507839e-6,403683
3683,5,15.5498,13.2284129,0.303960986,5.38911420523962e-6,503683
3683,2,15.2606,12.50013096,0.305875699,3.41886360763875e-6,203683
3684,5,14.70236667,13.07135505,0.302427638,5.43108112399624e-6,503684
3684,1,16.8085,13.34800979,0.310516536,5.70364518620141e-6,103684
3684,3,14.72823333,12.32391204,0.311383406,4.83531432423696e-6,303684
3684,6,14.36496667,12.14452868,0.307582462,4.5232382533180896e-06,603684
3684,2,15.34953333,12.60720435,0.307359532,4.78473127177613e-6,203684
3684,4,13.65476667,12.41820054,0.309128214,5.25898742524139e-6,403684
3685,1,23.32216667,15.97592766,0.311391822,9.82142617122262e-6,103685
3685,4,15.38146667,12.53640489,0.270585124,6.13809270069657e-6,403685
3685,6,14.67346667,12.32037528,0.306988093,4.86038566596787e-6,603685
3685,5,14.4008,12.88684839,0.30785067,5.04815329380042e-6,503685
3685,2,21.47656667,15.7622953,0.300231349,8.58032373186574e-6,203685
3685,3,19.21016667,14.24597494,0.299504787,6.77173148957546e-6,303685
3686,1,15.29883333,12.01113969,0.311048088,4.885690590158e-6,103686
3686,6,19.74833333,13.54822366,0.308253359,8.1742552112962e-6,603686
3686,3,14.8575,11.32351512,0.309267247,3.80690565836159e-6,303686
3686,5,18.61173333,13.64665038,0.310394796,7.52270964766704e-6,503686
3686,2,15.60463333,11.72688979,0.306918821,4.20348839360824e-6,203686
3686,4,19.00946667,13.19043102,0.310636211,6.85837970439112e-6,403686
3687,1,15.16096667,12.23334139,0.309181541,4.64445525014191e-6,103687
3687,3,13.69743333,11.34163,0.305083876,3.21817934162967e-6,303687
3687,6,14.37563333,11.84631047,0.307396598,4.48293960531459e-6,603687
3687,5,14.73493333,12.85693318,0.30437352,5.39576651127075e-6,503687
3687,2,14.56716667,11.90055851,0.304967685,3.05787532006603e-6,203687
3687,4,14.31086667,12.24933168,0.311020406,5.67134521976749e-6,403687
3688,4,22.63923333,16.97676847,0.314631279,1.08608842010349e-5,403688
3688,5,22.9041,17.29343262,0.316488901,1.46755150690139e-5,503688
3688,3,22.01953333,16.35205584,0.314915112,1.14943535292554e-5,303688
3688,2,24.67703333,18.18573758,0.310070109,1.2258753067131e-5,203688
3688,6,24.66483333,18.16547564,0.313151652,1.57545576162499e-5,603688
3688,1,27.13507619,20.42812201,0.314454087,1.80323847413381e-5,103688
3689,3,20.17653333,14.72829323,0.317825151,7.7629815943483e-6,303689
3689,4,24.37493333,18.48277455,0.318341554,1.12116876946326e-5,403689
3689,1,25.5415,19.25896534,0.316244072,1.76673512943485e-5,103689
3689,2,24.71323333,17.95696201,0.315695564,1.1682356968213e-5,203689
3689,6,24.6927,18.15935109,0.313907291,1.6099817588634e-5,603689
3689,5,23.75996667,17.38350119,0.316688092,1.58583715120419e-5,503689
3690,1,27.07937619,20.44734966,0.309944029,1.75249714339791e-5,103690
3690,2,24.75543333,18.06294607,0.305186206,1.20478802609637e-5,203690
3690,5,23.3662,17.20329969,0.306377914,1.43913054993092e-5,503690
3690,6,24.5104,17.92450042,0.303759853,1.45922954955237e-5,603690
3690,3,21.8268,16.53342521,0.305738494,1.10795518985878e-5,303690
3690,4,22.5936,16.86361271,0.305656003,1.01492449925797e-5,403690
3691,1,26.9541,20.07304292,0.308507678,1.7190468526717e-5,103691
3691,3,19.56316667,14.81476161,0.304401711,7.2219181551849e-6,303691
3691,2,24.8547,18.1071732,0.307431258,1.13802330937108e-5,203691
3691,4,22.50863333,16.98793511,0.30790084,9.96209507637472e-6,403691
3691,6,24.30976667,17.76332828,0.304829039,1.48266305550827e-5,603691
3691,5,23.65073333,17.20616213,0.306845612,1.48986597794984e-5,503691
3692,3,24.3509,17.73062024,0.312591271,1.33758279407459e-5,303692
3692,4,22.3901,16.63161577,0.313772389,1.11032494739996e-5,403692
3692,1,28.7292,21.61338688,0.313697199,1.98967726224332e-5,103692
3692,5,23.5319,17.93047799,0.314049072,1.54520530279761e-5,503692
3692,6,23.6848,17.62316962,0.310189141,1.42620284248162e-5,603692
3692,2,26.07906667,19.92783647,0.307579549,1.42608634879e-5,203692
3693,1,28.4278,21.52851347,0.313469002,1.95540658054729e-5,103693
3693,4,22.149,16.68124281,0.315297937,1.16279332286283e-5,403693
3693,2,26.0316,20.10546966,0.307604431,1.50501016285671e-5,203693
3693,3,24.30486667,17.84464341,0.311955613,1.42281035239731e-5,303693
3693,5,23.51656667,18.09068408,0.314714357,1.5677814941011e-5,503693
3693,6,23.68093333,18.2915693,0.310818228,1.48637549357003e-5,603693
3694,2,17.01846667,14.33366961,0.305693091,9.03231566013781e-6,203694
3694,6,14.788,12.65747829,0.304861602,5.55514022438395e-6,603694
3694,4,15.3758,12.28502874,0.296735908,5.92212747442613e-6,403694
3694,1,18.19026667,15.61424087,0.309184493,1.14872459514065e-5,103694
3694,3,16.88303333,14.06823919,0.309407624,9.43730196237447e-6,303694
3694,5,15.1727,13.11730347,0.296288005,6.19907480197229e-6,503694
3695,5,13.38563333,12.84070727,0.306479561,6.46272980583995e-6,503695
3695,3,15.10173333,13.38128364,0.301774645,9.01752230935479e-6,303695
3695,6,14.5271,13.73676343,0.302829392,6.4536459818701e-6,603695
3695,2,16.04146667,14.03779091,0.298190878,9.27945610401221e-6,203695
3695,4,14.1638,12.43090584,0.304644195,6.09838964355707e-6,403695
3695,1,16.1781,13.65996041,0.296898675,9.59332607933855e-6,103695
3696,5,23.4535,17.91443894,0.314072413,1.53424751489294e-5,503696
3696,1,28.6626,21.56681394,0.313966306,1.98380228391191e-5,103696
3696,2,25.92433333,20.01348076,0.308198225,1.446743841809e-5,203696
3696,3,24.34083333,17.71625583,0.312890174,1.32731016101409e-5,303696
3696,6,23.58286667,17.40139386,0.309369477,1.40072698304714e-5,603696
3696,4,21.95686667,16.42456032,0.314644566,1.07018321066759e-5,403696
3697,4,23.95436667,18.30770146,0.318765855,1.29881172346431e-5,403697
3697,1,28.3224,20.93581651,0.317270406,1.89659590580825e-5,103697
3697,6,24.8536,18.37453063,0.32472541,1.70306308763047e-5,603697
3697,3,23.15266667,17.91538469,0.316200786,1.42184320171078e-5,303697
