WP4,campaign,alpha,beta,gamma,pu
3845,1,0.770613782731121,0.0678854584103963,0.838499241141517,103845
3845,2,0.667610454480272,0.144049476756712,0.811659931236984,203845
3845,3,0.656666290455846,0.15280246522763,0.809468755683476,303845
3845,4,0.584718473991363,0.210073073906173,0.794791547897536,403845
3845,5,0.760214585160132,0.0765082883428998,0.836722873503031,503845
3845,6,0.776852598638549,0.0625782949562782,0.839430893594827,603845
3846,1,0.770613782731121,0.0678854584103963,0.838499241141517,103846
3846,2,0.667610454480272,0.144049476756712,0.811659931236984,203846
3846,3,0.656666290455846,0.15280246522763,0.809468755683476,303846
3846,4,0.584718473991363,0.210073073906173,0.794791547897536,403846
3846,5,0.760214585160132,0.0765082883428998,0.836722873503031,503846
3846,6,0.776852598638549,0.0625782949562782,0.839430893594827,603846
3854,1,0.811533634246018,0.0415998234955706,0.853133457741589,103854
3854,2,0.733315833082417,0.0948006695352449,0.828116502617662,203854
3854,3,0.718323687549222,0.106125108142285,0.824448795691507,303854
3854,4,0.73449321015332,0.0938973838289711,0.828390593982291,403854
3854,5,0.837271156390698,0.0343508581128479,0.871622014503546,503854
3854,6,0.862333247995523,0.0149248536838055,0.877258101679328,603854
3847,1,0.730346768736807,0.0962612060246657,0.826607974761473,103847
3847,2,0.663544314659165,0.147484832826683,0.811029147485848,203847
3847,3,0.650671179242004,0.157697074993402,0.808368254235407,303847
3847,4,0.752507845061401,0.0951866625315846,0.847694507592985,403847
3847,5,0.817009610884704,0.0382516984106755,0.855261309295379,503847
3847,6,0.792882931473235,0.05081124373562,0.843694175208855,603847
3853,1,0.721879062403719,0.102740447328317,0.824619509732036,103853
3853,2,0.649238188989182,0.15893448651209,0.808172675501271,203853
3853,3,0.631934544645021,0.172587458347761,0.804522002992782,303853
3853,4,0.724842080300144,0.114204484141531,0.839046564441675,403853
3853,5,0.811288346261394,0.0534112167590181,0.864699563020412,503853
3853,6,0.75437508294691,0.0858928846924386,0.840267967639348,603853
3848,1,0.784502709040624,0.0579950209778913,0.842497730018516,103848
3848,2,0.729133966867488,0.0978757729303482,0.827009739797836,203848
3848,3,0.718761092012922,0.10635656120079,0.825117653213712,303848
3848,4,0.72967801422784,0.09818144656182,0.827859460789659,403848
3848,5,0.796230228087588,0.0522665053333372,0.848496733420925,503848
3848,6,0.805028782021118,0.0431864196791464,0.848215201700264,603848
3849,1,0.784502709040624,0.0579950209778913,0.842497730018516,103849
3849,2,0.729133966867488,0.0978757729303482,0.827009739797836,203849
3849,3,0.718761092012922,0.10635656120079,0.825117653213712,303849
3849,4,0.72967801422784,0.09818144656182,0.827859460789659,403849
3849,5,0.796230228087588,0.0522665053333372,0.848496733420925,503849
3849,6,0.805028782021118,0.0431864196791464,0.848215201700264,603849
3850,1,0.784502709040624,0.0579950209778913,0.842497730018516,103850
3850,2,0.729133966867488,0.0978757729303482,0.827009739797836,203850
3850,3,0.718761092012922,0.10635656120079,0.825117653213712,303850
3850,4,0.72967801422784,0.09818144656182,0.827859460789659,403850
3850,5,0.796230228087588,0.0522665053333372,0.848496733420925,503850
3850,6,0.805028782021118,0.0431864196791464,0.848215201700264,603850
3851,1,0.845738611631898,0.0134946074326186,0.859233219064516,103851
3851,2,0.79273511465111,0.0488186738323163,0.841553788483426,203851
3851,3,0.776405960609633,0.0611865284738791,0.837592489083512,303851
3851,4,0.786709620856466,0.0537298021115573,0.840439422968024,403851
3851,5,0.850414160467712,0.0118406193282576,0.862254779795969,503851
3851,6,0.862190659152384,0.00370797505259656,0.86589863420498,603851
3852,1,0.859106169384232,0.00638688376321095,0.865493053147443,103852
3852,2,0.811875235246736,0.0359367665253411,0.847812001772078,203852
3852,3,0.797381877215532,0.0468061378057472,0.844188015021279,303852
3852,4,0.807003923142085,0.0401198377908277,0.847123760932913,403852
3852,5,0.862518598275029,0.00625711116547698,0.868775709440506,503852
3852,6,0.874090772682966,-0.0020024330453239,0.872088339637642,603852
3858,1,0.814203199818861,0.0405519998364963,0.854755199655357,103858
3858,2,0.704124096650315,0.116326537277801,0.820450633928116,203858
3858,3,0.688970968285502,0.128013191012814,0.816984159298316,303858
3858,4,0.739733056141168,0.0903656914126886,0.830098747553857,403858
3858,5,0.826130834757864,0.0369622576060982,0.863093092363962,503858
3858,6,0.790374214466428,0.0762643861741504,0.866638600640579,603858
3865,1,0.748332069533604,0.0830711912330232,0.831403260766627,103865
3865,2,0.603489022681297,0.194882175603291,0.798371198284588,203865
3865,3,0.58936734106314,0.206172901613434,0.795540242676575,303865
3865,4,0.651281527595601,0.15670123204037,0.807982759635971,403865
3865,5,0.806014109655508,0.0458401261579868,0.851854235813495,503865
3865,6,0.829756622490318,0.0279968841342789,0.857753506624597,603865
3859,1,0.707294152714764,0.113640746433003,0.820934899147768,103859
3859,2,0.598152374564207,0.19957310238163,0.797725476945837,203859
3859,3,0.579679041674917,0.214257903710665,0.793936945385582,303859
3859,4,0.732281843888942,0.124830042932894,0.857111886821836,403859
3859,5,0.811813481077131,0.0665626412155509,0.878376122292682,503859
3859,6,0.853524331736206,0.0160671202124789,0.869591451948685,603859
3860,1,0.700986840385806,0.118653571591124,0.81964041197693,103860
3860,2,0.593078051095053,0.203982949006711,0.797061000101764,203860
3860,3,0.57290994251352,0.219966660084101,0.792876602597621,303860
3860,4,0.705938311801242,0.118908956039014,0.824847267840256,403860
3860,5,0.854383149250667,0.0196781538427637,0.874061303093431,503860
3860,6,0.794065212701318,0.0539770191739467,0.848042231875264,603860
3863,1,0.834878137564936,0.0278217916724963,0.862699929237432,103863
3863,2,0.761897881118245,0.0753804244469101,0.837278305565155,203863
3863,3,0.739171922198837,0.0912533051942417,0.830425227393079,303863
3863,4,0.752985913134023,0.119379497162002,0.872365410296024,403863
3863,5,0.853151370178059,0.0277957066526539,0.880947076830712,503863
3863,6,0.877631724453184,0.00852598475686905,0.886157709210053,603863
3861,1,0.843963267811841,0.0320336815145555,0.875996949326396,103861
3861,2,0.818820642052416,0.0419539889269059,0.860774630979322,203861
3861,3,0.810611317556561,0.0489258549167425,0.859537172473304,303861
3861,4,0.804514830644693,0.0641759189478813,0.868690749592574,403861
3861,5,0.844676486821409,0.0496963736461975,0.894372860467606,503861
3861,6,0.863457758996452,0.0188428191083461,0.882300578104798,603861
3862,1,0.843963267811841,0.0320336815145555,0.875996949326396,103862
