WP4,campaign,er_sl,pu
3763,1,0.031149482284466047,103763
3764,1,0.1555049502471167,103764
3765,1,0.06521845797504576,103765
3766,1,0.4137708524418176,103766
3767,1,0.02622239910710575,103767
3768,1,0.39102494664918414,103768
3769,1,0.17464879744788406,103769
3770,1,0.0676455025709811,103770
3771,1,0.025670784586847836,103771
3772,1,0.16319367922672173,103772
3773,1,0.1130238178544686,103773
3775,1,0.09865268956081512,103775
3776,1,0.0831588259954647,103776
3777,1,0.6304672213096645,103777
3778,1,0.24634346866725076,103778
3779,1,0.23469771130781886,103779
3780,1,6.173784594117387e-4,103780
3781,1,0.002875485401279159,103781
3782,1,0.01646174358505804,103782
3783,1,0.6056530165618802,103783
3784,1,0.39423375273157996,103784
3785,1,0.006677162498415015,103785
3786,1,0.4527903280877065,103786
3787,1,0.08834969275028462,103787
3788,1,0.03322515134651346,103788
3789,1,0.23493758004414853,103789
3790,1,0.14393389303192738,103790
3791,1,0.21009463595453182,103791
3792,1,0.43260448535369794,103792
3793,1,0.4511716946932509,103793
3794,1,0.5933973324127855,103794
3795,1,0.1215188356926974,103795
3796,1,9.458202968180818e-4,103796
3797,1,0.009297574796797931,103797
3798,1,0.19847461925408078,103798
3799,1,0.3101189669852726,103799
3800,1,0.005772303087254002,103800
3801,1,0.25657035170584697,103801
3802,1,0.13781703247552682,103802
3803,1,0.036405766283303144,103803
3804,1,0.129910295387599,103804
3805,1,0.029653623663389913,103805
3806,1,0.0868513078023027,103806
3807,1,0.07641440594040069,103807
3808,1,0.26288818777392375,103808
3809,1,0.0557882985506014,103809
3810,1,0.12159264661145466,103810
3811,1,0.3081832689576998,103811
3812,1,0.02093904660263627,103812
3813,1,0.033381745614997994,103813
3814,1,0.031329462091848254,103814
3815,1,0.013434594272139734,103815
3816,1,0.4723651261361214,103816
3817,1,0.003974138212890077,103817
3818,1,0.12790968157380356,103818
3819,1,0.004868119097952281,103819
3820,1,0.38196013200769396,103820
3821,1,8.535074757160645e-5,103821
3822,1,0,103822
3823,1,0.024951258083088707,103823
3824,1,0.035061487548956785,103824
3825,1,0.02851520130901481,103825
3826,1,0.07161237671943077,103826
3827,1,0.24017156536641127,103827
3828,1,0.540205335429036,103828
3829,1,0.1426051376589325,103829
3830,1,0.08530335133803059,103830
3831,1,0.005265284764923073,103831
3832,1,0.11260464739817046,103832
3833,1,0.0011535380571163782,103833
3834,1,0.0012186141249978181,103834
3835,1,0,103835
3836,1,0,103836
3837,1,0,103837
3838,1,0,103838
3839,1,0,103839
3840,1,0,103840
3841,1,0,103841
3842,1,0,103842
3843,1,0,103843
3844,1,0,103844
3845,1,0,103845
3846,1,0,103846
3847,1,0,103847
3848,1,0,103848
3849,1,1.5091301970188964e-4,103849
3850,1,0.01756187026755107,103850
3851,1,0.012204717354892,103851
3852,1,4.5918572409189563e-4,103852
3853,1,0,103853
3854,1,0,103854
3855,1,0,103855
3856,1,0,103856
3857,1,0,103857
3858,1,0,103858
3859,1,0,103859
3860,1,0,103860
3861,1,0,103861
3862,1,2.834388889341429e-6,103862
3863,1,0,103863
3864,1,0,103864
3865,1,0,103865
3866,1,0,103866
3867,1,0,103867
3868,1,0,103868
3869,1,0,103869
3870,1,0,103870
3871,1,0,103871
3872,1,0,103872
3873,1,0,103873
3874,1,0,103874
3875,1,0,103875
3876,1,0,103876
3877,1,0,103877
3878,1,0,103878
3879,1,0,103879
3880,1,0,103880
3947,1,0.9428582085707318,103947
3507,2,0,203507
3508,2,0,203508
3509,2,0,203509
3510,2,0,203510
3511,2,0,203511
3512,2,0,203512
3513,2,0.008085791221682338,203513
3514,2,2.957178133230347e-4,203514
3515,2,0,203515
