WP4,campaign,dr_ss,pu
3612,1,0.040902663390368695,103612
3613,1,0.023709295257040023,103613
3614,1,0.055165497711055014,103614
3615,1,0.13787769296403263,103615
3616,1,0.09314393182545183,103616
3617,1,0.07173886150599174,103617
3618,1,0.10125106228205208,103618
3619,1,0.05245467920576185,103619
3620,1,0.07064449479054179,103620
3621,1,0.09801256067059129,103621
3622,1,0.049608964006267645,103622
3623,1,0.05347179660973926,103623
3624,1,0.07689975522443493,103624
3625,1,0.03761129625498094,103625
3626,1,0.15243307266581685,103626
3627,1,0.1536753953941287,103627
3628,1,0.09658626781478341,103628
3629,1,0.01246633675698607,103629
3630,1,0.10598937955056903,103630
3631,1,0.10709866167554574,103631
3632,1,0.08631454192607403,103632
3633,1,0.007538526829331925,103633
3634,1,0.09314915070327258,103634
3635,1,0.06015393810334302,103635
3636,1,0.014731000726958819,103636
3637,1,0.07462444628677628,103637
3638,1,0.0113518952725418,103638
3639,1,0.08106317204435516,103639
3640,1,0.01457480362656458,103640
3641,1,0.12060558149834737,103641
3642,1,0.35118067645622886,103642
3643,1,0.023116328783868902,103643
3644,1,0.09433710451814373,103644
3645,1,0.06681636855122192,103645
3646,1,0.02128255840258383,103646
3647,1,0.013641197636348744,103647
3648,1,0.0833175156421052,103648
3649,1,0.0812444015721255,103649
3650,1,0.2342913746385579,103650
3651,1,0.04606717560424706,103651
3652,1,0.20828549373478816,103652
3653,1,0.017827147663907254,103653
3654,1,0.1957313905528838,103654
3655,1,0.12038426139984572,103655
3656,1,0.14366598452296317,103656
3657,1,0.17004727743943293,103657
3658,1,0.27688252245680506,103658
3659,1,0.12652609693654435,103659
3660,1,0.10465178832935859,103660
3661,1,0.05742274778838548,103661
3662,1,1,103662
3663,1,0.4373304919712401,103663
3664,1,0.14923211390891367,103664
3665,1,0.13608750269248218,103665
3666,1,0.12783655550404555,103666
3667,1,0.16754193667987344,103667
3668,1,0.05092155862133307,103668
3669,1,0.09516685483972676,103669
3670,1,0.14375879512831366,103670
3671,1,0.09958108365324655,103671
3672,1,0.010484732155024797,103672
3673,1,0,103673
3674,1,0.10327007086241352,103674
3675,1,0.11234924018360563,103675
3676,1,0.06055104676016156,103676
3677,1,0.055952920012703744,103677
3678,1,0.06823356667200595,103678
3679,1,0.15411483647964844,103679
3680,1,0.16404222995793646,103680
3681,1,0.12905113220895284,103681
3682,1,0.06142633082631283,103682
3683,1,0.012852757460641415,103683
3684,1,0,103684
3685,1,0.036108856830521986,103685
3686,1,0.028196413662661714,103686
3687,1,0.16604654852697903,103687
3688,1,0.20449527793096636,103688
3689,1,0.11489187800896791,103689
3690,1,0.10010425879525643,103690
3691,1,0.15824691192675522,103691
3692,1,0.09219229452970094,103692
3693,1,0.15794975442438153,103693
3694,1,0.13324061476099192,103694
3695,1,0.0797290687088604,103695
3696,1,0.08901542747953603,103696
3697,1,0.47005117010505976,103697
3698,1,0.4512883906225451,103698
3699,1,0.22773829593835157,103699
3700,1,0.13011706678664905,103700
3701,1,0.37104825489887644,103701
3702,1,0.39353765151826203,103702
3703,1,0.199991504306179,103703
3704,1,0.17020893589982755,103704
3705,1,0.5014570982878948,103705
3706,1,0.2894617396282732,103706
3707,1,0.46532049708725587,103707
3708,1,0.3739372515141476,103708
3709,1,0.12505095825003276,103709
3710,1,0.2403503264596827,103710
3711,1,0.1620066477205971,103711
3712,1,0.24489538543103193,103712
3713,1,0.031044065413017817,103713
